item_id,order_id,product_id,quantity,unit_price,discount_amount
ITEM-000049,ORD-00020,PROD-040,3,123.57,6.18
ITEM-000050,ORD-00020,PROD-030,2,85.5,8.55
ITEM-000051,ORD-00020,PROD-038,2,299.68,14.98
ITEM-000052,ORD-00021,PROD-022,1,109.93,5.5
ITEM-000053,ORD-00021,PROD-021,1,283.54,14.18
ITEM-000054,ORD-00021,PROD-014,2,49.75,2.49
ITEM-000055,ORD-00021,PROD-022,2,109.93,10.99
ITEM-000056,ORD-00022,PROD-016,3,406.34,20.32
ITEM-000057,ORD-00023,PROD-002,1,126.71,6.34
ITEM-000058,ORD-00023,PROD-015,2,409.71,40.97
ITEM-000059,ORD-00023,PROD-016,2,406.34,40.63
ITEM-000060,ORD-00023,PROD-038,2,299.68,14.98
ITEM-000061,ORD-00024,PROD-018,2,188.76,9.44
ITEM-000062,ORD-00024,PROD-015,1,409.71,40.97
ITEM-000063,ORD-00024,PROD-013,2,422.27,0.0
ITEM-000064,ORD-00024,PROD-048,3,42.37,4.24
ITEM-000065,ORD-00025,PROD-007,1,24.77,1.24
ITEM-000066,ORD-00025,PROD-015,2,409.71,0.0
ITEM-000067,ORD-00025,PROD-020,1,412.9,41.29
ITEM-000068,ORD-00026,PROD-041,2,247.34,0.0
ITEM-000069,ORD-00026,PROD-001,3,256.5,12.83
ITEM-000070,ORD-00027,PROD-031,1,481.08,0.0
ITEM-000071,ORD-00027,PROD-026,2,164.85,0.0
ITEM-000072,ORD-00027,PROD-037,3,384.96,38.5
ITEM-000073,ORD-00028,PROD-008,3,312.09,15.6
ITEM-000074,ORD-00028,PROD-039,3,420.93,42.09
ITEM-000075,ORD-00029,PROD-020,3,412.9,41.29
ITEM-000076,ORD-00029,PROD-004,3,361.03,36.1
ITEM-000077,ORD-00029,PROD-007,1,24.77,2.48
ITEM-000078,ORD-00029,PROD-014,2,49.75,4.98
ITEM-000079,ORD-00030,PROD-027,2,154.59,15.46
ITEM-000080,ORD-00031,PROD-045,2,48.12,0.0
ITEM-000081,ORD-00031,PROD-044,1,465.33,23.27
ITEM-000082,ORD-00031,PROD-041,3,247.34,24.73
ITEM-000083,ORD-00032,PROD-010,1,318.94,0.0
ITEM-000084,ORD-00032,PROD-011,2,401.86,40.19
ITEM-000085,ORD-00032,PROD-048,3,42.37,2.12
ITEM-000086,ORD-00033,PROD-033,3,429.48,21.47
ITEM-000087,ORD-00033,PROD-029,1,99.26,9.93
ITEM-000088,ORD-00033,PROD-003,2,366.3,36.63
ITEM-000089,ORD-00034,PROD-049,3,467.61,23.38
ITEM-000090,ORD-00035,PROD-018,1,188.76,18.88
ITEM-000091,ORD-00035,PROD-028,3,317.59,15.88
ITEM-000092,ORD-00035,PROD-006,2,113.98,5.7
ITEM-000093,ORD-00035,PROD-027,2,154.59,7.73
ITEM-000094,ORD-00036,PROD-043,2,177.38,17.74
ITEM-000095,ORD-00036,PROD-003,2,366.3,0.0
ITEM-000096,ORD-00036,PROD-021,2,283.54,14.18
ITEM-000097,ORD-00037,PROD-027,1,154.59,0.0
ITEM-000098,ORD-00037,PROD-034,2,100.57,10.06
ITEM-000099,ORD-00037,PROD-049,2,467.61,46.76
ITEM-000100,ORD-00037,PROD-029,1,99.26,0.0
ITEM-000101,ORD-00038,PROD-041,3,247.34,0.0
ITEM-000102,ORD-00039,PROD-015,1,409.71,20.49
ITEM-000103,ORD-00040,PROD-027,2,154.59,7.73
ITEM-000104,ORD-00040,PROD-016,2,406.34,40.63
ITEM-000105,ORD-00040,PROD-010,2,318.94,0.0
ITEM-000106,ORD-00041,PROD-022,3,109.93,5.5
ITEM-000107,ORD-00041,PROD-001,2,256.5,25.65
ITEM-000108,ORD-00041,PROD-020,3,412.9,41.29
ITEM-000109,ORD-00041,PROD-043,2,177.38,0.0
ITEM-000110,ORD-00042,PROD-030,2,85.5,0.0
ITEM-000111,ORD-00042,PROD-045,1,48.12,4.81
ITEM-000112,ORD-00042,PROD-025,1,288.11,14.41
ITEM-000113,ORD-00042,PROD-003,2,366.3,36.63
ITEM-000114,ORD-00043,PROD-032,1,281.69,0.0
ITEM-000115,ORD-00043,PROD-033,3,429.48,21.47
ITEM-000116,ORD-00044,PROD-027,3,154.59,0.0
ITEM-000117,ORD-00044,PROD-005,2,174.04,8.7
ITEM-000118,ORD-00045,PROD-021,3,283.54,28.35
ITEM-000119,ORD-00045,PROD-049,2,467.61,46.76
ITEM-000120,ORD-00045,PROD-003,3,366.3,0.0
ITEM-000121,ORD-00045,PROD-016,3,406.34,40.63
ITEM-000122,ORD-00046,PROD-029,1,99.26,9.93
ITEM-000123,ORD-00047,PROD-024,2,56.54,0.0
ITEM-000124,ORD-00047,PROD-016,3,406.34,20.32
ITEM-000125,ORD-00047,PROD-037,3,384.96,0.0
ITEM-000126,ORD-00048,PROD-032,3,281.69,0.0
ITEM-000127,ORD-00048,PROD-015,2,409.71,40.97
ITEM-000128,ORD-00049,PROD-019,3,403.17,40.32
ITEM-000129,ORD-00049,PROD-011,1,401.86,20.09
ITEM-000130,ORD-00049,PROD-023,3,46.94,2.35
ITEM-000131,ORD-00049,PROD-041,2,247.34,24.73
ITEM-000132,ORD-00050,PROD-016,2,406.34,40.63
ITEM-000133,ORD-00051,PROD-018,1,188.76,18.88
ITEM-000134,ORD-00051,PROD-044,3,465.33,0.0
ITEM-000135,ORD-00051,PROD-039,3,420.93,21.05
ITEM-000136,ORD-00051,PROD-019,1,403.17,40.32
ITEM-000137,ORD-00052,PROD-041,1,247.34,24.73
ITEM-000138,ORD-00052,PROD-042,1,313.98,15.7
ITEM-000139,ORD-00053,PROD-021,3,283.54,14.18
ITEM-000140,ORD-00053,PROD-012,1,149.72,0.0
ITEM-000141,ORD-00053,PROD-035,2,145.51,14.55
ITEM-000142,ORD-00054,PROD-048,2,42.37,0.0
ITEM-000143,ORD-00054,PROD-030,1,85.5,0.0
ITEM-000144,ORD-00054,PROD-049,1,467.61,46.76
ITEM-000145,ORD-00055,PROD-017,3,295.69,0.0
ITEM-000146,ORD-00056,PROD-041,2,247.34,0.0
ITEM-000147,ORD-00056,PROD-044,1,465.33,23.27
ITEM-000148,ORD-00056,PROD-002,3,126.71,12.67
ITEM-000149,ORD-00056,PROD-021,3,283.54,0.0
ITEM-000150,ORD-00057,PROD-008,1,312.09,0.0
ITEM-000151,ORD-00057,PROD-003,2,366.3,18.32
ITEM-000152,ORD-00057,PROD-008,1,312.09,0.0
ITEM-000153,ORD-00057,PROD-035,1,145.51,7.28
ITEM-000154,ORD-00058,PROD-038,3,299.68,29.97
ITEM-000155,ORD-00058,PROD-010,2,318.94,31.89
ITEM-000156,ORD-00058,PROD-007,2,24.77,2.48
ITEM-000157,ORD-00058,PROD-027,2,154.59,0.0
ITEM-000158,ORD-00059,PROD-007,3,24.77,1.24
ITEM-000159,ORD-00059,PROD-035,3,145.51,7.28
ITEM-000160,ORD-00059,PROD-004,2,361.03,18.05
ITEM-000161,ORD-00060,PROD-004,2,361.03,0.0
ITEM-000162,ORD-00061,PROD-015,2,409.71,0.0
ITEM-000163,ORD-00061,PROD-039,1,420.93,21.05
ITEM-000164,ORD-00062,PROD-009,1,117.89,5.89
ITEM-000165,ORD-00063,PROD-034,1,100.57,10.06
ITEM-000166,ORD-00063,PROD-005,2,174.04,8.7
ITEM-000167,ORD-00063,PROD-050,2,504.6,50.46
ITEM-000168,ORD-00063,PROD-038,1,299.68,14.98
ITEM-000169,ORD-00064,PROD-030,3,85.5,0.0
ITEM-000170,ORD-00064,PROD-004,2,361.03,18.05
ITEM-000171,ORD-00064,PROD-028,3,317.59,0.0
ITEM-000172,ORD-00065,PROD-009,2,117.89,11.79
ITEM-000173,ORD-00066,PROD-007,3,24.77,0.0
ITEM-000174,ORD-00066,PROD-042,3,313.98,31.4
ITEM-000175,ORD-00066,PROD-047,1,362.21,18.11
ITEM-000176,ORD-00066,PROD-029,1,99.26,4.96
ITEM-000177,ORD-00067,PROD-021,3,283.54,14.18
ITEM-000178,ORD-00067,PROD-024,1,56.54,5.65
ITEM-000179,ORD-00067,PROD-031,1,481.08,0.0
ITEM-000180,ORD-00067,PROD-006,1,113.98,5.7
ITEM-000181,ORD-00068,PROD-043,1,177.38,8.87
ITEM-000182,ORD-00068,PROD-023,3,46.94,2.35
ITEM-000183,ORD-00068,PROD-047,1,362.21,18.11
ITEM-000184,ORD-00069,PROD-043,2,177.38,0.0
ITEM-000185,ORD-00069,PROD-007,2,24.77,2.48
ITEM-000186,ORD-00070,PROD-036,3,126.11,12.61
ITEM-000187,ORD-00070,PROD-044,3,465.33,46.53
ITEM-000188,ORD-00070,PROD-002,3,126.71,12.67
ITEM-000189,ORD-00070,PROD-045,2,48.12,0.0
ITEM-000190,ORD-00071,PROD-001,1,256.5,0.0
ITEM-000191,ORD-00071,PROD-037,3,384.96,19.25
ITEM-000192,ORD-00071,PROD-005,1,174.04,17.4
ITEM-000193,ORD-00072,PROD-030,2,85.5,0.0
ITEM-000194,ORD-00072,PROD-024,2,56.54,5.65
ITEM-000195,ORD-00072,PROD-021,3,283.54,28.35
ITEM-000196,ORD-00072,PROD-006,1,113.98,0.0
ITEM-000197,ORD-00073,PROD-032,3,281.69,14.08
ITEM-000198,ORD-00073,PROD-027,2,154.59,0.0
ITEM-000199,ORD-00073,PROD-049,3,467.61,0.0
ITEM-000200,ORD-00073,PROD-023,2,46.94,0.0
ITEM-000201,ORD-00074,PROD-039,1,420.93,0.0
ITEM-000202,ORD-00074,PROD-014,2,49.75,0.0
ITEM-000203,ORD-00074,PROD-050,1,504.6,25.23
ITEM-000204,ORD-00074,PROD-019,2,403.17,0.0
ITEM-000205,ORD-00075,PROD-033,3,429.48,42.95
ITEM-000206,ORD-00075,PROD-023,1,46.94,2.35
ITEM-000207,ORD-00076,PROD-037,2,384.96,38.5
ITEM-000208,ORD-00076,PROD-026,3,164.85,16.48
ITEM-000209,ORD-00076,PROD-027,2,154.59,0.0
ITEM-000210,ORD-00077,PROD-045,2,48.12,0.0
ITEM-000211,ORD-00077,PROD-028,1,317.59,0.0
ITEM-000212,ORD-00077,PROD-028,3,317.59,15.88
ITEM-000213,ORD-00077,PROD-034,1,100.57,5.03
ITEM-000214,ORD-00078,PROD-034,3,100.57,0.0
ITEM-000215,ORD-00079,PROD-017,1,295.69,0.0
ITEM-000216,ORD-00079,PROD-039,1,420.93,42.09
ITEM-000217,ORD-00080,PROD-044,3,465.33,46.53
ITEM-000218,ORD-00080,PROD-041,3,247.34,12.37
ITEM-000219,ORD-00080,PROD-041,2,247.34,0.0
ITEM-000220,ORD-00080,PROD-029,1,99.26,4.96
ITEM-000221,ORD-00081,PROD-020,2,412.9,20.64
ITEM-000222,ORD-00082,PROD-040,3,123.57,12.36
ITEM-000223,ORD-00083,PROD-029,3,99.26,9.93
ITEM-000224,ORD-00084,PROD-029,1,99.26,4.96
ITEM-000225,ORD-00085,PROD-029,3,99.26,9.93
ITEM-000226,ORD-00085,PROD-040,1,123.57,6.18
ITEM-000227,ORD-00085,PROD-024,2,56.54,2.83
ITEM-000228,ORD-00085,PROD-027,2,154.59,15.46
ITEM-000229,ORD-00086,PROD-036,3,126.11,6.31
ITEM-000230,ORD-00087,PROD-006,3,113.98,11.4
ITEM-000231,ORD-00087,PROD-010,2,318.94,15.95
ITEM-000232,ORD-00087,PROD-042,3,313.98,31.4
ITEM-000233,ORD-00088,PROD-042,2,313.98,0.0
ITEM-000234,ORD-00088,PROD-043,3,177.38,17.74
ITEM-000235,ORD-00088,PROD-044,3,465.33,0.0
ITEM-000236,ORD-00088,PROD-042,3,313.98,15.7
ITEM-000237,ORD-00089,PROD-022,2,109.93,0.0
ITEM-000238,ORD-00089,PROD-015,1,409.71,0.0
ITEM-000239,ORD-00090,PROD-043,2,177.38,17.74
ITEM-000240,ORD-00091,PROD-047,2,362.21,0.0
ITEM-000241,ORD-00091,PROD-027,2,154.59,15.46
ITEM-000242,ORD-00092,PROD-015,3,409.71,0.0
ITEM-000243,ORD-00092,PROD-020,2,412.9,0.0
ITEM-000244,ORD-00092,PROD-024,3,56.54,5.65
ITEM-000245,ORD-00092,PROD-029,2,99.26,4.96
ITEM-000246,ORD-00093,PROD-004,3,361.03,18.05
ITEM-000247,ORD-00093,PROD-024,3,56.54,0.0
ITEM-000248,ORD-00093,PROD-046,3,67.45,0.0
ITEM-000249,ORD-00094,PROD-028,1,317.59,0.0
ITEM-000250,ORD-00094,PROD-029,2,99.26,0.0
ITEM-000251,ORD-00095,PROD-024,1,56.54,0.0
ITEM-000252,ORD-00096,PROD-003,2,366.3,18.32
ITEM-000253,ORD-00096,PROD-045,1,48.12,4.81
ITEM-000254,ORD-00097,PROD-010,3,318.94,31.89
ITEM-000255,ORD-00097,PROD-039,3,420.93,21.05
ITEM-000256,ORD-00098,PROD-041,3,247.34,12.37
ITEM-000257,ORD-00098,PROD-005,1,174.04,8.7
ITEM-000258,ORD-00098,PROD-039,3,420.93,0.0
ITEM-000259,ORD-00098,PROD-041,3,247.34,24.73
ITEM-000260,ORD-00099,PROD-037,2,384.96,0.0
ITEM-000261,ORD-00099,PROD-043,3,177.38,0.0
ITEM-000262,ORD-00100,PROD-025,2,288.11,0.0
ITEM-000263,ORD-00101,PROD-023,1,46.94,4.69
ITEM-000264,ORD-00102,PROD-003,2,366.3,36.63
ITEM-000265,ORD-00102,PROD-022,3,109.93,0.0
ITEM-000266,ORD-00103,PROD-005,3,174.04,8.7
ITEM-000267,ORD-00103,PROD-003,2,366.3,0.0
ITEM-000268,ORD-00104,PROD-017,1,295.69,29.57
ITEM-000269,ORD-00104,PROD-013,2,422.27,21.11
ITEM-000270,ORD-00104,PROD-050,1,504.6,50.46
ITEM-000271,ORD-00104,PROD-022,2,109.93,0.0
ITEM-000272,ORD-00105,PROD-022,1,109.93,5.5
ITEM-000273,ORD-00105,PROD-045,2,48.12,2.41
ITEM-000274,ORD-00105,PROD-034,2,100.57,0.0
ITEM-000275,ORD-00105,PROD-047,2,362.21,0.0
ITEM-000276,ORD-00106,PROD-043,2,177.38,8.87
ITEM-000277,ORD-00106,PROD-029,3,99.26,9.93
ITEM-000278,ORD-00106,PROD-028,1,317.59,31.76
ITEM-000279,ORD-00107,PROD-040,2,123.57,6.18
ITEM-000280,ORD-00107,PROD-041,1,247.34,0.0
ITEM-000281,ORD-00107,PROD-043,3,177.38,8.87
ITEM-000282,ORD-00108,PROD-003,1,366.3,0.0
ITEM-000283,ORD-00108,PROD-016,3,406.34,20.32
ITEM-000284,ORD-00108,PROD-024,2,56.54,5.65
ITEM-000285,ORD-00108,PROD-003,3,366.3,0.0
ITEM-000286,ORD-00109,PROD-034,2,100.57,5.03
ITEM-000287,ORD-00109,PROD-021,3,283.54,14.18
ITEM-000288,ORD-00110,PROD-036,1,126.11,6.31
ITEM-000289,ORD-00110,PROD-050,2,504.6,50.46
ITEM-000290,ORD-00110,PROD-029,1,99.26,9.93
ITEM-000291,ORD-00110,PROD-019,3,403.17,20.16
ITEM-000292,ORD-00111,PROD-006,3,113.98,5.7
ITEM-000293,ORD-00111,PROD-043,2,177.38,17.74
ITEM-000294,ORD-00111,PROD-005,3,174.04,17.4
ITEM-000295,ORD-00111,PROD-019,2,403.17,0.0
ITEM-000296,ORD-00112,PROD-009,1,117.89,5.89
ITEM-000297,ORD-00112,PROD-002,2,126.71,12.67
ITEM-000298,ORD-00113,PROD-005,2,174.04,8.7
ITEM-000299,ORD-00114,PROD-009,2,117.89,11.79
ITEM-000300,ORD-00115,PROD-050,1,504.6,25.23
ITEM-000301,ORD-00115,PROD-033,1,429.48,0.0
ITEM-000302,ORD-00116,PROD-023,3,46.94,2.35
ITEM-000303,ORD-00116,PROD-006,2,113.98,0.0
ITEM-000304,ORD-00117,PROD-033,3,429.48,0.0
ITEM-000305,ORD-00118,PROD-037,1,384.96,0.0
ITEM-000306,ORD-00118,PROD-006,1,113.98,11.4
ITEM-000307,ORD-00118,PROD-050,3,504.6,25.23
ITEM-000308,ORD-00119,PROD-032,3,281.69,28.17
ITEM-000309,ORD-00120,PROD-020,2,412.9,0.0
ITEM-000310,ORD-00120,PROD-045,1,48.12,0.0
ITEM-000311,ORD-00120,PROD-029,2,99.26,4.96
ITEM-000312,ORD-00120,PROD-030,1,85.5,4.28
ITEM-000313,ORD-00121,PROD-026,1,164.85,8.24
ITEM-000314,ORD-00121,PROD-033,3,429.48,0.0
ITEM-000315,ORD-00121,PROD-021,1,283.54,14.18
ITEM-000316,ORD-00122,PROD-025,3,288.11,14.41
ITEM-000317,ORD-00122,PROD-016,1,406.34,20.32
ITEM-000318,ORD-00122,PROD-037,3,384.96,19.25
ITEM-000319,ORD-00123,PROD-032,1,281.69,0.0
ITEM-000320,ORD-00123,PROD-026,3,164.85,8.24
ITEM-000321,ORD-00123,PROD-016,1,406.34,40.63
ITEM-000322,ORD-00124,PROD-019,3,403.17,0.0
ITEM-000323,ORD-00124,PROD-007,2,24.77,0.0
ITEM-000324,ORD-00124,PROD-017,3,295.69,14.78
ITEM-000325,ORD-00124,PROD-049,2,467.61,23.38
ITEM-000326,ORD-00125,PROD-005,2,174.04,17.4
ITEM-000327,ORD-00125,PROD-029,3,99.26,4.96
ITEM-000328,ORD-00125,PROD-040,3,123.57,12.36
ITEM-000329,ORD-00126,PROD-036,2,126.11,0.0
ITEM-000330,ORD-00126,PROD-013,3,422.27,42.23
ITEM-000331,ORD-00126,PROD-026,3,164.85,0.0
ITEM-000332,ORD-00127,PROD-010,3,318.94,31.89
ITEM-000333,ORD-00127,PROD-009,2,117.89,11.79
ITEM-000334,ORD-00127,PROD-021,1,283.54,14.18
ITEM-000335,ORD-00127,PROD-040,3,123.57,6.18
ITEM-000336,ORD-00128,PROD-031,1,481.08,24.05
ITEM-000337,ORD-00128,PROD-022,3,109.93,0.0
ITEM-000338,ORD-00128,PROD-027,3,154.59,7.73
ITEM-000339,ORD-00129,PROD-047,1,362.21,36.22
ITEM-000340,ORD-00129,PROD-031,1,481.08,48.11
ITEM-000341,ORD-00130,PROD-013,1,422.27,21.11
ITEM-000342,ORD-00131,PROD-048,3,42.37,0.0
ITEM-000343,ORD-00131,PROD-046,1,67.45,6.75
ITEM-000344,ORD-00131,PROD-014,3,49.75,2.49
ITEM-000345,ORD-00131,PROD-043,2,177.38,17.74
ITEM-000346,ORD-00132,PROD-044,3,465.33,46.53
ITEM-000347,ORD-00132,PROD-042,3,313.98,15.7
ITEM-000348,ORD-00132,PROD-040,2,123.57,0.0
ITEM-000349,ORD-00133,PROD-050,2,504.6,50.46
ITEM-000350,ORD-00133,PROD-014,3,49.75,4.98
ITEM-000351,ORD-00133,PROD-032,2,281.69,14.08
ITEM-000352,ORD-00134,PROD-026,2,164.85,0.0
ITEM-000353,ORD-00134,PROD-019,1,403.17,20.16
ITEM-000354,ORD-00134,PROD-046,1,67.45,3.37
ITEM-000355,ORD-00134,PROD-029,3,99.26,4.96
ITEM-000356,ORD-00135,PROD-009,1,117.89,11.79
ITEM-000357,ORD-00135,PROD-048,3,42.37,0.0
ITEM-000358,ORD-00135,PROD-016,1,406.34,40.63
ITEM-000359,ORD-00136,PROD-046,2,67.45,0.0
ITEM-000360,ORD-00136,PROD-044,1,465.33,0.0
ITEM-000361,ORD-00136,PROD-036,1,126.11,6.31
ITEM-000362,ORD-00137,PROD-021,2,283.54,28.35
ITEM-000363,ORD-00137,PROD-004,1,361.03,36.1
ITEM-000364,ORD-00137,PROD-037,1,384.96,38.5
ITEM-000365,ORD-00138,PROD-026,2,164.85,0.0
ITEM-000366,ORD-00139,PROD-022,2,109.93,5.5
ITEM-000367,ORD-00140,PROD-022,1,109.93,10.99
ITEM-000368,ORD-00141,PROD-037,3,384.96,0.0
ITEM-000369,ORD-00141,PROD-012,3,149.72,14.97
ITEM-000370,ORD-00141,PROD-026,2,164.85,16.48
ITEM-000371,ORD-00142,PROD-031,2,481.08,0.0
ITEM-000372,ORD-00142,PROD-001,2,256.5,12.83
ITEM-000373,ORD-00143,PROD-017,3,295.69,14.78
ITEM-000374,ORD-00144,PROD-026,3,164.85,16.48
ITEM-000375,ORD-00144,PROD-046,2,67.45,6.75
ITEM-000376,ORD-00145,PROD-031,1,481.08,24.05
ITEM-000377,ORD-00145,PROD-048,3,42.37,2.12
ITEM-000378,ORD-00146,PROD-049,1,467.61,46.76
ITEM-000379,ORD-00146,PROD-049,3,467.61,0.0
ITEM-000380,ORD-00147,PROD-004,3,361.03,36.1
ITEM-000381,ORD-00148,PROD-046,3,67.45,3.37
ITEM-000382,ORD-00148,PROD-006,3,113.98,5.7
ITEM-000383,ORD-00149,PROD-036,2,126.11,12.61
ITEM-000384,ORD-00150,PROD-003,2,366.3,18.32
ITEM-000385,ORD-00151,PROD-003,2,366.3,18.32
ITEM-000386,ORD-00151,PROD-012,1,149.72,14.97
ITEM-000387,ORD-00151,PROD-047,3,362.21,18.11
ITEM-000388,ORD-00151,PROD-024,2,56.54,2.83
ITEM-000389,ORD-00152,PROD-042,2,313.98,0.0
ITEM-000390,ORD-00152,PROD-012,3,149.72,7.49
ITEM-000391,ORD-00153,PROD-030,3,85.5,8.55
ITEM-000392,ORD-00153,PROD-035,2,145.51,14.55
ITEM-000393,ORD-00153,PROD-025,1,288.11,0.0
ITEM-000394,ORD-00154,PROD-003,3,366.3,18.32
ITEM-000395,ORD-00155,PROD-029,3,99.26,9.93
ITEM-000396,ORD-00156,PROD-035,1,145.51,0.0
ITEM-000397,ORD-00156,PROD-009,3,117.89,5.89
ITEM-000398,ORD-00157,PROD-016,2,406.34,0.0
ITEM-000399,ORD-00157,PROD-043,3,177.38,0.0
ITEM-000400,ORD-00157,PROD-027,2,154.59,7.73
ITEM-000401,ORD-00158,PROD-023,3,46.94,4.69
ITEM-000402,ORD-00159,PROD-012,3,149.72,7.49
ITEM-000403,ORD-00159,PROD-016,1,406.34,20.32
ITEM-000404,ORD-00159,PROD-046,1,67.45,3.37
ITEM-000405,ORD-00159,PROD-004,3,361.03,18.05
ITEM-000406,ORD-00160,PROD-029,2,99.26,0.0
ITEM-000407,ORD-00161,PROD-005,1,174.04,17.4
ITEM-000408,ORD-00162,PROD-014,1,49.75,4.98
ITEM-000409,ORD-00163,PROD-016,3,406.34,20.32
ITEM-000410,ORD-00163,PROD-050,2,504.6,25.23
ITEM-000411,ORD-00163,PROD-030,3,85.5,8.55
ITEM-000412,ORD-00163,PROD-023,2,46.94,2.35
ITEM-000413,ORD-00164,PROD-049,2,467.61,0.0
ITEM-000414,ORD-00164,PROD-024,2,56.54,2.83
ITEM-000415,ORD-00164,PROD-003,3,366.3,0.0
ITEM-000416,ORD-00164,PROD-048,1,42.37,0.0
ITEM-000417,ORD-00165,PROD-037,1,384.96,19.25
ITEM-000418,ORD-00165,PROD-036,3,126.11,12.61
ITEM-000419,ORD-00165,PROD-022,2,109.93,5.5
ITEM-000420,ORD-00165,PROD-047,3,362.21,36.22
ITEM-000421,ORD-00166,PROD-047,3,362.21,18.11
ITEM-000422,ORD-00166,PROD-012,3,149.72,14.97
ITEM-000423,ORD-00167,PROD-009,3,117.89,0.0
ITEM-000424,ORD-00167,PROD-005,3,174.04,0.0
ITEM-000425,ORD-00167,PROD-001,1,256.5,25.65
ITEM-000426,ORD-00167,PROD-030,2,85.5,0.0
ITEM-000427,ORD-00168,PROD-001,1,256.5,25.65
ITEM-000428,ORD-00168,PROD-047,2,362.21,36.22
ITEM-000429,ORD-00168,PROD-019,1,403.17,40.32
ITEM-000430,ORD-00168,PROD-045,3,48.12,2.41
ITEM-000431,ORD-00169,PROD-023,2,46.94,2.35
ITEM-000432,ORD-00169,PROD-006,2,113.98,5.7
ITEM-000433,ORD-00169,PROD-030,3,85.5,0.0
ITEM-000434,ORD-00170,PROD-006,2,113.98,5.7
ITEM-000435,ORD-00171,PROD-032,2,281.69,28.17
ITEM-000436,ORD-00172,PROD-018,1,188.76,0.0
ITEM-000437,ORD-00172,PROD-044,2,465.33,46.53
ITEM-000438,ORD-00172,PROD-037,3,384.96,0.0
ITEM-000439,ORD-00172,PROD-012,2,149.72,0.0
ITEM-000440,ORD-00173,PROD-011,3,401.86,0.0
ITEM-000441,ORD-00173,PROD-037,2,384.96,38.5
ITEM-000442,ORD-00173,PROD-035,2,145.51,7.28
ITEM-000443,ORD-00174,PROD-004,1,361.03,18.05
ITEM-000444,ORD-00174,PROD-015,1,409.71,20.49
ITEM-000445,ORD-00174,PROD-039,3,420.93,42.09
ITEM-000446,ORD-00175,PROD-032,1,281.69,14.08
ITEM-000447,ORD-00175,PROD-036,2,126.11,6.31
ITEM-000448,ORD-00175,PROD-012,3,149.72,14.97
ITEM-000449,ORD-00175,PROD-043,2,177.38,0.0
