order_id,customer_id,order_date,order_status,total_amount,payment_method,shipping_fee
ORD-00048,CUST-0011,2025-11-04 14:00:00,completed,1587.55,Bank Transfer,5.0
ORD-00049,CUST-0033,2025-11-18 08:00:00,cancelled,2054.31,Bank Transfer,5.0
ORD-00050,CUST-0039,2025-07-21 14:00:00,cancelled,736.42,COD,5.0
ORD-00051,CUST-0090,2025-08-15 08:00:00,returned,3133.36,E-Wallet,5.0
ORD-00052,CUST-0082,2025-07-19 17:00:00,completed,525.89,Credit Card,5.0
ORD-00053,CUST-0075,2025-09-02 19:00:00,completed,1229.72,COD,10.0
ORD-00054,CUST-0022,2025-08-05 15:00:00,returned,601.09,Bank Transfer,10.0
ORD-00055,CUST-0072,2025-09-02 09:00:00,completed,892.07,COD,5.0
ORD-00056,CUST-0087,2025-12-09 18:00:00,completed,2139.48,Credit Card,10.0
ORD-00057,CUST-0082,2025-09-27 19:00:00,completed,1463.37,COD,5.0
ORD-00058,CUST-0086,2025-12-08 19:00:00,cancelled,1746.99,COD,10.0
ORD-00059,CUST-0028,2025-09-22 15:00:00,returned,1171.24,Credit Card,0.0
ORD-00060,CUST-0059,2025-06-24 18:00:00,completed,722.06,E-Wallet,0.0
ORD-00061,CUST-0009,2025-12-13 16:00:00,completed,1219.3,E-Wallet,0.0
ORD-00062,CUST-0070,2025-08-04 20:00:00,completed,112.0,COD,0.0
ORD-00063,CUST-0003,2025-07-15 12:00:00,completed,1624.17,E-Wallet,10.0
ORD-00064,CUST-0079,2025-06-12 19:00:00,completed,1900.23,Bank Transfer,5.0
ORD-00065,CUST-0010,2025-06-21 13:00:00,completed,222.2,COD,10.0
ORD-00066,CUST-0049,2025-10-31 16:00:00,completed,1365.45,Bank Transfer,5.0
ORD-00067,CUST-0052,2025-09-15 19:00:00,completed,1448.33,COD,0.0
ORD-00068,CUST-0017,2025-10-21 08:00:00,completed,656.38,COD,10.0
ORD-00069,CUST-0046,2025-06-27 17:00:00,completed,404.34,Credit Card,5.0
ORD-00070,CUST-0098,2025-08-11 17:00:00,completed,2035.26,COD,0.0
ORD-00071,CUST-0090,2025-12-13 12:00:00,cancelled,1520.27,Credit Card,10.0
ORD-00072,CUST-0012,2025-12-09 16:00:00,completed,1152.33,Credit Card,0.0
ORD-00073,CUST-0087,2025-06-21 12:00:00,completed,2613.72,Bank Transfer,5.0
ORD-00074,CUST-0068,2025-11-18 12:00:00,completed,1806.14,Bank Transfer,0.0
ORD-00075,CUST-0096,2025-09-19 10:00:00,completed,1214.18,Credit Card,10.0
ORD-00076,CUST-0056,2025-06-05 15:00:00,cancelled,1452.21,Credit Card,5.0
ORD-00077,CUST-0042,2025-07-14 20:00:00,,1419.5,COD,5.0
ORD-00078,CUST-0029,2025-08-25 20:00:00,completed,306.71,COD,5.0
ORD-00079,CUST-0094,2025-11-13 10:00:00,completed,674.53,E-Wallet,0.0
ORD-00080,CUST-0099,2025-11-08 15:00:00,completed,2555.29,COD,5.0
ORD-00081,CUST-0036,2025-10-30 08:00:00,completed,784.52,Credit Card,0.0
ORD-00082,CUST-0048,2025-08-13 09:00:00,completed,338.63,Bank Transfer,5.0
ORD-00083,CUST-0075,2025-10-20 20:00:00,completed,267.99,COD,0.0
ORD-00084,CUST-0078,2025-09-30 16:00:00,completed,104.3,Credit Card,10.0
ORD-00085,CUST-0065,2025-11-13 10:00:00,completed,781.06,Credit Card,10.0
ORD-00086,CUST-0081,2025-11-13 13:00:00,completed,364.4,COD,5.0
ORD-00087,CUST-0093,2025-11-16 17:00:00,cancelled,1766.46,E-Wallet,5.0
ORD-00088,CUST-0077,2025-11-29 09:00:00,completed,3407.71,COD,10.0
ORD-00089,CUST-0003,2025-09-01 12:00:00,completed,629.57,COD,0.0
ORD-00090,CUST-0013,2025-10-08 20:00:00,completed,319.28,Bank Transfer,0.0
ORD-00091,CUST-0020,2025-07-12 10:00:00,completed,1012.68,E-Wallet,10.0
ORD-00092,CUST-0057,2025-11-04 12:00:00,completed,2401.2,Bank Transfer,5.0
ORD-00093,CUST-0021,2025-07-22 20:00:00,completed,1405.91,Credit Card,5.0
ORD-00094,CUST-0098,2025-07-12 12:00:00,completed,521.11,Credit Card,5.0
ORD-00095,CUST-0051,2025-10-07 13:00:00,completed,61.54,Credit Card,5.0
ORD-00096,CUST-0092,2025-11-14 13:00:00,completed,744.27,Bank Transfer,5.0
ORD-00097,CUST-0079,2025-06-02 09:00:00,completed,2060.79,COD,0.0
ORD-00098,CUST-0031,2025-08-17 09:00:00,completed,2800.87,E-Wallet,0.0
ORD-00099,CUST-0038,2025-09-18 08:00:00,completed,1312.06,COD,10.0
ORD-00100,CUST-0009,2025-10-13 16:00:00,completed,586.22,Bank Transfer,10.0
ORD-00101,CUST-0048,2025-08-04 19:00:00,completed,52.25,Credit Card,10.0
ORD-00102,CUST-0099,2025-10-27 19:00:00,completed,999.13,Bank Transfer,10.0
ORD-00103,CUST-0090,2025-10-01 18:00:00,completed,1228.62,E-Wallet,0.0
ORD-00104,CUST-0006,2025-08-20 12:00:00,completed,1747.44,Bank Transfer,5.0
ORD-00105,CUST-0052,2025-12-08 15:00:00,cancelled,1126.41,E-Wallet,5.0
ORD-00106,CUST-0070,2025-08-15 13:00:00,completed,895.84,COD,5.0
ORD-00107,CUST-0058,2025-06-11 19:00:00,cancelled,992.65,E-Wallet,5.0
ORD-00108,CUST-0004,2025-07-07 17:00:00,completed,2735.04,Bank Transfer,10.0
ORD-00109,CUST-0048,2025-09-04 15:00:00,completed,999.16,Credit Card,0.0
ORD-00110,CUST-0004,2025-12-06 10:00:00,completed,2266.44,Credit Card,0.0
ORD-00111,CUST-0018,2025-06-19 15:00:00,completed,1930.38,E-Wallet,10.0
ORD-00112,CUST-0047,2025-10-09 11:00:00,completed,350.08,COD,10.0
ORD-00113,CUST-0060,2025-10-20 10:00:00,completed,340.68,Bank Transfer,10.0
ORD-00114,CUST-0068,2025-09-14 20:00:00,completed,212.2,Bank Transfer,0.0
ORD-00115,CUST-0060,2025-11-22 16:00:00,completed,918.85,E-Wallet,10.0
ORD-00116,CUST-0039,2025-07-13 10:00:00,completed,371.73,COD,10.0
ORD-00117,CUST-0017,2025-11-08 12:00:00,completed,1298.44,E-Wallet,10.0
ORD-00118,CUST-0022,2025-11-16 17:00:00,completed,1935.65,E-Wallet,10.0
ORD-00119,CUST-0099,2025-10-25 14:00:00,completed,765.56,COD,5.0
ORD-00120,CUST-0062,2025-08-02 20:00:00,completed,1153.74,E-Wallet,10.0
ORD-00121,CUST-0041,2025-12-01 13:00:00,completed,1714.41,COD,0.0
ORD-00122,CUST-0058,2025-08-03 10:00:00,completed,2304.25,E-Wallet,0.0
ORD-00123,CUST-0064,2025-10-10 15:00:00,completed,1122.23,Credit Card,5.0
ORD-00124,CUST-0007,2025-08-12 15:00:00,completed,2990.24,Bank Transfer,0.0
ORD-00125,CUST-0007,2025-10-24 16:00:00,completed,929.81,E-Wallet,0.0
ORD-00126,CUST-0013,2025-09-09 13:00:00,completed,1886.89,Credit Card,0.0
ORD-00127,CUST-0018,2025-11-30 13:00:00,completed,1704.88,COD,10.0
ORD-00128,CUST-0065,2025-10-09 16:00:00,completed,1237.4,Credit Card,10.0
ORD-00129,CUST-0077,2025-09-30 12:00:00,returned,768.96,Bank Transfer,10.0
ORD-00130,CUST-0019,2025-11-22 11:00:00,completed,406.16,Bank Transfer,5.0
ORD-00131,CUST-0020,2025-09-14 19:00:00,completed,653.87,COD,5.0
ORD-00132,CUST-0023,2025-09-26 16:00:00,completed,2398.38,COD,0.0
ORD-00133,CUST-0072,2025-08-16 11:00:00,cancelled,1582.81,COD,5.0
ORD-00134,CUST-0037,2025-07-02 17:00:00,completed,1069.69,Bank Transfer,10.0
ORD-00135,CUST-0028,2025-07-22 16:00:00,completed,608.92,E-Wallet,10.0
ORD-00136,CUST-0082,2025-07-30 08:00:00,completed,730.03,Bank Transfer,10.0
ORD-00137,CUST-0062,2025-11-14 11:00:00,completed,1191.77,Credit Card,10.0
ORD-00138,CUST-0023,2025-09-15 10:00:00,cancelled,339.7,COD,10.0
ORD-00139,CUST-0005,2025-06-03 12:00:00,completed,218.86,Bank Transfer,10.0
ORD-00140,CUST-0018,2025-10-08 15:00:00,completed,103.94,COD,5.0
ORD-00141,CUST-0092,2025-07-18 08:00:00,completed,1860.87,Credit Card,5.0
ORD-00142,CUST-0052,2025-11-19 09:00:00,,1449.5,Bank Transfer,0.0
ORD-00143,CUST-0097,2025-08-08 13:00:00,completed,852.73,E-Wallet,10.0
ORD-00144,CUST-0008,2025-11-18 09:00:00,completed,566.51,COD,0.0
ORD-00145,CUST-0048,2025-11-05 11:00:00,completed,582.78,Bank Transfer,5.0
ORD-00146,CUST-0097,2025-10-16 20:00:00,completed,1833.68,Bank Transfer,10.0
ORD-00147,CUST-0068,2025-11-28 13:00:00,completed,974.79,E-Wallet,0.0
ORD-00148,CUST-0022,2025-08-23 16:00:00,completed,517.08,Bank Transfer,0.0
ORD-00149,CUST-0017,2025-10-10 14:00:00,completed,232.0,Credit Card,5.0
ORD-00150,CUST-0051,2025-08-05 08:00:00,completed,705.96,Credit Card,10.0
ORD-00151,CUST-0070,2025-06-16 09:00:00,returned,1975.43,Bank Transfer,5.0
ORD-00152,CUST-0011,2025-11-22 18:00:00,cancelled,1064.65,E-Wallet,10.0
ORD-00153,CUST-0094,2025-07-28 08:00:00,completed,785.88,COD,5.0
ORD-00154,CUST-0020,2025-08-10 11:00:00,cancelled,1053.94,Credit Card,10.0
ORD-00155,CUST-0031,2025-07-23 09:00:00,completed,277.99,Credit Card,10.0
ORD-00156,CUST-0032,2025-12-07 08:00:00,completed,481.51,COD,0.0
ORD-00157,CUST-0074,2025-11-01 20:00:00,completed,1638.54,E-Wallet,0.0
ORD-00158,CUST-0081,2025-11-21 14:00:00,completed,131.75,COD,5.0
ORD-00159,CUST-0090,2025-09-15 14:00:00,completed,1910.73,E-Wallet,5.0
ORD-00160,CUST-0050,2025-08-02 12:00:00,completed,208.52,E-Wallet,10.0
ORD-00161,CUST-0007,2025-08-08 14:00:00,completed,166.64,E-Wallet,10.0
ORD-00162,CUST-0062,2025-07-24 13:00:00,completed,44.77,Bank Transfer,0.0
ORD-00163,CUST-0032,2025-11-26 17:00:00,completed,2441.83,Bank Transfer,5.0
ORD-00164,CUST-0060,2025-06-26 20:00:00,returned,2188.91,Bank Transfer,5.0
ORD-00165,CUST-0038,2025-07-10 11:00:00,completed,1898.04,Bank Transfer,5.0
ORD-00166,CUST-0022,2025-12-05 20:00:00,completed,1436.55,Credit Card,0.0
ORD-00167,CUST-0010,2025-11-19 08:00:00,completed,1287.64,Bank Transfer,10.0
ORD-00168,CUST-0085,2025-10-03 08:00:00,completed,1382.81,Credit Card,0.0
ORD-00169,CUST-0013,2025-10-13 10:00:00,completed,572.24,E-Wallet,10.0
ORD-00170,CUST-0039,2025-11-23 09:00:00,completed,221.56,Bank Transfer,5.0
ORD-00171,CUST-0008,2025-11-11 08:00:00,completed,512.04,Credit Card,5.0
ORD-00172,CUST-0068,2025-06-11 11:00:00,completed,2480.68,E-Wallet,0.0
ORD-00173,CUST-0097,2025-11-30 14:00:00,cancelled,2184.96,E-Wallet,10.0
ORD-00174,CUST-0089,2025-12-03 09:00:00,completed,1873.72,COD,5.0
ORD-00175,CUST-0004,2025-11-10 12:00:00,completed,1276.22,COD,10.0
ORD-00176,CUST-0032,2025-11-30 09:00:00,completed,1691.87,COD,5.0
ORD-00177,CUST-0014,2025-06-24 08:00:00,cancelled,1162.03,Credit Card,0.0
ORD-00178,CUST-0012,2025-08-30 16:00:00,completed,1679.51,E-Wallet,10.0
ORD-00179,CUST-0088,2025-09-06 10:00:00,completed,906.5,Credit Card,5.0
ORD-00180,CUST-0047,2025-08-04 11:00:00,completed,2058.84,Bank Transfer,5.0
ORD-00181,CUST-0043,2025-09-19 18:00:00,returned,793.93,E-Wallet,5.0
ORD-00182,CUST-0051,2025-08-21 12:00:00,completed,2104.12,Credit Card,0.0
ORD-00183,CUST-0094,2025-09-27 19:00:00,completed,1476.05,E-Wallet,5.0
ORD-00184,CUST-0092,2025-09-17 20:00:00,completed,1958.75,Credit Card,10.0
ORD-00185,CUST-0014,2025-12-14 11:00:00,completed,3405.2,Bank Transfer,5.0
ORD-00186,CUST-0014,2025-06-03 09:00:00,completed,429.45,E-Wallet,10.0
ORD-00187,CUST-0045,2025-06-07 15:00:00,completed,1124.5,Credit Card,5.0
ORD-00188,CUST-0057,2025-12-02 19:00:00,completed,371.61,Credit Card,0.0
ORD-00189,CUST-0044,2025-11-13 09:00:00,completed,492.29,Bank Transfer,5.0
ORD-00190,CUST-0060,2025-07-30 20:00:00,completed,1049.43,E-Wallet,10.0
ORD-00191,CUST-0058,2025-10-30 14:00:00,completed,621.66,E-Wallet,10.0
ORD-00192,CUST-0047,2025-08-23 11:00:00,completed,1595.6,Credit Card,10.0
ORD-00193,CUST-0045,2025-08-30 15:00:00,completed,1109.26,E-Wallet,0.0
ORD-00194,CUST-0048,2025-11-25 10:00:00,completed,1869.98,E-Wallet,10.0
ORD-00195,CUST-0063,2025-08-13 10:00:00,completed,2619.5,Bank Transfer,5.0
ORD-00196,CUST-0054,2025-11-29 15:00:00,completed,389.96,Credit Card,5.0
ORD-00197,CUST-0036,2025-07-28 16:00:00,completed,3289.28,Credit Card,10.0
ORD-00198,CUST-0098,2025-12-02 15:00:00,completed,1251.65,E-Wallet,0.0
ORD-00199,CUST-0027,2025-12-06 17:00:00,completed,2457.89,COD,0.0
ORD-00200,CUST-0091,2025-08-14 12:00:00,completed,240.78,E-Wallet,5.0
ORD-00201,CUST-0090,2025-07-04 11:00:00,completed,1861.8,Bank Transfer,5.0
ORD-00202,CUST-0058,2025-06-20 18:00:00,completed,450.11,COD,5.0
ORD-00203,CUST-0059,2025-10-03 13:00:00,completed,661.98,COD,10.0
ORD-00204,CUST-0009,2025-10-15 14:00:00,completed,1752.99,Credit Card,10.0
ORD-00205,CUST-0006,2025-06-26 18:00:00,completed,947.06,COD,0.0
ORD-00206,CUST-0012,2025-11-15 13:00:00,completed,2296.83,Bank Transfer,0.0
ORD-00207,CUST-0084,2025-06-24 19:00:00,completed,760.79,Bank Transfer,10.0
ORD-00208,CUST-0002,2025-06-03 19:00:00,completed,957.77,Credit Card,5.0
ORD-00209,CUST-0030,2025-09-07 09:00:00,completed,52.06,E-Wallet,5.0
ORD-00210,CUST-0049,2025-12-16 20:00:00,cancelled,1162.47,Bank Transfer,0.0
ORD-00211,CUST-0045,2025-12-02 11:00:00,completed,516.65,E-Wallet,0.0
ORD-00212,CUST-0097,2025-07-02 17:00:00,completed,1479.18,COD,10.0
ORD-00213,CUST-0100,2025-11-24 08:00:00,completed,817.58,E-Wallet,0.0
ORD-00214,CUST-0064,2025-09-07 09:00:00,completed,100.54,E-Wallet,5.0
ORD-00215,CUST-0050,2025-10-24 14:00:00,completed,1315.35,COD,0.0
ORD-00216,CUST-0028,2025-06-11 08:00:00,cancelled,2188.17,E-Wallet,10.0
ORD-00217,CUST-0036,2025-06-22 12:00:00,completed,1364.08,Credit Card,10.0
ORD-00218,CUST-0040,2025-11-26 14:00:00,completed,672.74,Credit Card,10.0
ORD-00219,CUST-0040,2025-11-18 19:00:00,completed,634.55,Bank Transfer,0.0
ORD-00220,CUST-0045,2025-10-12 16:00:00,completed,1181.47,COD,5.0
ORD-00221,CUST-0068,2025-06-17 12:00:00,completed,512.04,Credit Card,5.0
ORD-00222,CUST-0064,2025-10-24 10:00:00,completed,2956.35,Credit Card,0.0
ORD-00223,CUST-0002,2025-08-02 08:00:00,completed,1566.76,COD,10.0
ORD-00224,CUST-0035,2025-06-20 17:00:00,completed,134.75,Bank Transfer,0.0
ORD-00225,CUST-0009,2025-09-28 12:00:00,completed,1101.49,E-Wallet,5.0
ORD-00226,CUST-0060,2025-09-03 17:00:00,returned,1389.62,E-Wallet,0.0
ORD-00227,CUST-0070,2025-08-28 18:00:00,completed,103.94,COD,5.0
ORD-00228,CUST-0014,2025-07-23 16:00:00,returned,1191.84,Credit Card,5.0
ORD-00229,CUST-0075,2025-06-25 16:00:00,completed,1803.6,COD,10.0
ORD-00230,CUST-0041,2025-09-24 12:00:00,completed,677.61,Bank Transfer,5.0
ORD-00231,CUST-0041,2025-09-13 09:00:00,completed,484.29,COD,0.0
ORD-00232,CUST-0091,2025-11-26 17:00:00,completed,1450.62,COD,5.0
ORD-00233,CUST-0023,2025-06-08 14:00:00,cancelled,167.43,E-Wallet,0.0
ORD-00234,CUST-0017,2025-07-21 14:00:00,completed,854.1,Credit Card,0.0
ORD-00235,CUST-0009,2025-07-21 18:00:00,completed,960.56,Bank Transfer,0.0
ORD-00236,CUST-0093,2025-09-10 15:00:00,completed,1016.79,COD,0.0
ORD-00237,CUST-0064,2025-09-14 16:00:00,completed,382.52,E-Wallet,5.0
ORD-00238,CUST-0083,2025-10-13 11:00:00,completed,826.1,Bank Transfer,5.0
ORD-00239,CUST-0045,2025-10-23 16:00:00,completed,1577.36,COD,5.0
ORD-00240,CUST-0099,2025-10-28 11:00:00,returned,1224.02,Credit Card,5.0
ORD-00241,CUST-0098,2025-07-27 17:00:00,completed,1605.46,COD,10.0
ORD-00242,CUST-0073,2025-10-23 10:00:00,completed,1102.27,Credit Card,0.0
ORD-00243,CUST-0030,2025-11-02 11:00:00,completed,1297.97,E-Wallet,10.0
ORD-00244,CUST-0100,2025-06-29 16:00:00,cancelled,157.67,Credit Card,5.0
ORD-00245,CUST-0044,2025-08-17 13:00:00,completed,1454.81,COD,0.0
ORD-00246,CUST-0029,2025-11-18 17:00:00,completed,2536.91,E-Wallet,0.0
ORD-00247,CUST-0078,2025-08-21 20:00:00,returned,1019.63,Credit Card,10.0
ORD-00248,CUST-0031,2025-08-28 13:00:00,completed,192.1,COD,10.0
ORD-00249,CUST-0058,2025-06-03 12:00:00,completed,103.88,Credit Card,10.0
ORD-00250,CUST-0007,2025-09-07 15:00:00,completed,427.49,Bank Transfer,0.0
ORD-00251,CUST-0074,2025-11-14 20:00:00,completed,487.27,Credit Card,5.0
ORD-00252,CUST-0010,2025-08-27 10:00:00,cancelled,541.15,Bank Transfer,10.0
ORD-00253,CUST-0091,2025-06-08 14:00:00,cancelled,1184.84,E-Wallet,0.0
ORD-00254,CUST-0053,2025-11-26 16:00:00,completed,1193.47,E-Wallet,5.0
ORD-00255,CUST-0007,2025-09-01 08:00:00,completed,1096.71,COD,10.0
ORD-00256,CUST-0011,2025-09-30 09:00:00,completed,1530.5,Bank Transfer,0.0
ORD-00257,CUST-0006,2025-08-07 15:00:00,completed,1427.43,Credit Card,0.0
ORD-00258,CUST-0086,2025-08-28 20:00:00,completed,310.82,Bank Transfer,10.0
ORD-00259,CUST-0074,2025-07-31 15:00:00,completed,3120.25,E-Wallet,0.0
ORD-00260,CUST-0025,2025-07-03 08:00:00,completed,3259.88,COD,10.0
ORD-00261,CUST-0036,2025-10-12 15:00:00,cancelled,139.93,Bank Transfer,10.0
ORD-00262,CUST-0015,2025-09-15 10:00:00,completed,79.31,COD,5.0
ORD-00263,CUST-0053,2025-08-07 14:00:00,completed,1794.48,E-Wallet,5.0
ORD-00264,CUST-0007,2025-12-08 15:00:00,cancelled,1169.62,E-Wallet,0.0
ORD-00265,CUST-0039,2025-12-08 15:00:00,completed,2650.29,Bank Transfer,5.0
ORD-00266,CUST-0098,2025-10-11 13:00:00,completed,1182.24,Credit Card,10.0
ORD-00267,CUST-0023,2025-07-20 11:00:00,completed,907.22,COD,5.0
ORD-00268,CUST-0060,2025-10-08 14:00:00,completed,470.33,Bank Transfer,5.0
ORD-00269,CUST-0077,2025-09-23 10:00:00,returned,1408.81,E-Wallet,0.0
ORD-00270,CUST-0074,2025-12-17 11:00:00,cancelled,1007.22,Credit Card,0.0
ORD-00271,CUST-0061,2025-07-04 18:00:00,completed,742.48,COD,5.0
ORD-00272,CUST-0055,2025-09-05 13:00:00,completed,450.52,Credit Card,10.0
ORD-00273,CUST-0001,2025-10-09 18:00:00,returned,1582.32,COD,0.0
ORD-00274,CUST-0036,2025-11-11 13:00:00,cancelled,1371.21,Bank Transfer,10.0
ORD-00275,CUST-0085,2025-08-21 18:00:00,completed,601.56,Bank Transfer,5.0
ORD-00276,CUST-0052,2025-09-08 19:00:00,completed,1413.04,Bank Transfer,10.0
ORD-00277,CUST-0086,2025-08-31 16:00:00,completed,915.15,COD,0.0
ORD-00278,CUST-0093,2025-10-22 20:00:00,cancelled,1145.75,COD,5.0
ORD-00279,CUST-0075,2025-08-15 15:00:00,cancelled,3206.27,COD,10.0
ORD-00280,CUST-0053,2025-06-14 10:00:00,completed,289.1,E-Wallet,10.0
ORD-00281,CUST-0100,2025-06-21 15:00:00,completed,1337.96,E-Wallet,0.0
ORD-00282,CUST-0074,2025-12-13 10:00:00,completed,346.0,Bank Transfer,10.0
ORD-00283,CUST-0052,2025-09-18 15:00:00,completed,135.96,Credit Card,5.0
ORD-00284,CUST-0042,2025-12-11 16:00:00,completed,742.02,COD,0.0
ORD-00285,CUST-0040,2025-07-04 09:00:00,completed,2174.35,COD,10.0
ORD-00286,CUST-0056,2025-11-23 10:00:00,completed,1600.17,E-Wallet,10.0
ORD-00287,CUST-0016,2025-09-02 19:00:00,completed,831.1,Credit Card,10.0
ORD-00288,CUST-0077,2025-06-13 18:00:00,completed,1088.09,Bank Transfer,5.0
ORD-00289,CUST-0049,2025-07-02 16:00:00,,374.28,Credit Card,5.0
ORD-00290,CUST-0085,2025-10-12 12:00:00,completed,1230.76,Credit Card,5.0
ORD-00291,CUST-0014,2025-10-06 11:00:00,completed,590.37,E-Wallet,5.0
ORD-00292,CUST-0089,2025-10-02 13:00:00,completed,187.38,Bank Transfer,10.0
ORD-00293,CUST-0020,2025-06-24 20:00:00,completed,892.07,COD,5.0
ORD-00294,CUST-0034,2025-09-27 08:00:00,completed,1590.08,Credit Card,10.0
ORD-00295,CUST-0013,2025-12-12 08:00:00,completed,751.0,COD,10.0
ORD-00296,CUST-0094,2025-06-24 13:00:00,completed,765.42,Bank Transfer,10.0
ORD-00297,CUST-0054,2025-11-14 20:00:00,completed,536.13,Bank Transfer,10.0
ORD-00298,CUST-0073,2025-11-21 15:00:00,completed,2067.38,Credit Card,0.0
ORD-00299,CUST-0034,2025-11-15 13:00:00,completed,600.81,Credit Card,10.0
ORD-00300,CUST-0056,2025-11-17 19:00:00,completed,871.79,E-Wallet,10.0
ORD-00301,CUST-0065,2025-09-29 15:00:00,cancelled,888.46,COD,0.0
ORD-00302,CUST-0036,2025-06-13 16:00:00,completed,616.57,Credit Card,5.0
ORD-00303,CUST-0014,2025-09-12 14:00:00,completed,317.74,COD,10.0
ORD-00304,CUST-0066,2025-10-22 11:00:00,completed,2642.71,Bank Transfer,5.0
ORD-00305,CUST-0015,2025-06-25 20:00:00,completed,202.88,COD,5.0
ORD-00306,CUST-0090,2025-06-28 08:00:00,cancelled,2330.95,Bank Transfer,0.0
ORD-00307,CUST-0025,2025-12-01 13:00:00,completed,1912.57,Credit Card,0.0
ORD-00308,CUST-0071,2025-09-19 17:00:00,completed,511.57,COD,5.0
ORD-00309,CUST-0065,2025-09-07 14:00:00,returned,1164.98,Bank Transfer,0.0
ORD-00310,CUST-0078,2025-11-27 19:00:00,completed,568.75,COD,5.0
ORD-00311,CUST-0087,2025-07-04 19:00:00,completed,1604.81,COD,0.0
