kpi_id,employee_id,evaluation_period,target_score,actual_score,completion_rate,rating,reviewer_id
KPI0108,EMP123,2025-Q1,100.0,107.4,107.4,Xuất sắc,EMP002
KPI0109,EMP124,2025-Q1,100.0,113.6,113.6,Xuất sắc,EMP010
KPI0110,EMP128,2025-Q1,100.0,79.5,79.5,Cần cải thiện,EMP002
KPI0111,EMP129,2025-Q1,100.0,99.7,99.7,Đạt,EMP001
KPI0112,EMP131,2025-Q1,100.0,112.8,112.8,Xuất sắc,EMP002
KPI0113,EMP132,2025-Q1,100.0,86.4,86.4,Cần cải thiện,EMP008
KPI0114,EMP133,2025-Q1,100.0,112.9,112.9,Xuất sắc,EMP001
KPI0115,EMP134,2025-Q1,100.0,74.8,74.8,Cần cải thiện,EMP002
KPI0116,EMP135,2025-Q1,100.0,95.4,95.4,Đạt,EMP001
KPI0117,EMP136,2025-Q1,100.0,112.6,112.6,Xuất sắc,EMP002
KPI0118,EMP137,2025-Q1,100.0,104.5,104.5,Đạt,EMP002
KPI0119,EMP138,2025-Q1,100.0,98.9,98.9,Đạt,EMP003
KPI0120,EMP139,2025-Q1,100.0,74.2,74.2,Cần cải thiện,EMP002
KPI0121,EMP140,2025-Q1,100.0,103.8,103.8,Đạt,EMP001
KPI0122,EMP141,2025-Q1,100.0,74.1,74.1,Cần cải thiện,EMP008
KPI0123,EMP142,2025-Q1,100.0,83.3,83.3,Cần cải thiện,EMP002
KPI0124,EMP143,2025-Q1,100.0,81.5,81.5,Cần cải thiện,EMP002
KPI0125,EMP144,2025-Q1,100.0,91.1,91.1,Đạt,EMP002
KPI0126,EMP145,2025-Q1,100.0,90.3,90.3,Đạt,EMP003
KPI0127,EMP146,2025-Q1,100.0,82.4,82.4,Cần cải thiện,EMP001
KPI0128,EMP147,2025-Q1,100.0,90.0,90.0,Đạt,EMP001
KPI0129,EMP148,2025-Q1,100.0,79.3,79.3,Cần cải thiện,EMP002
KPI0130,EMP149,2025-Q1,100.0,111.4,111.4,Xuất sắc,EMP001
KPI0131,EMP150,2025-Q1,100.0,73.1,73.1,Cần cải thiện,EMP001
KPI0132,EMP151,2025-Q1,100.0,105.9,105.9,Xuất sắc,EMP001
KPI0133,EMP153,2025-Q1,100.0,75.5,75.5,Cần cải thiện,EMP002
KPI0134,EMP154,2025-Q1,100.0,114.4,114.4,Xuất sắc,EMP008
KPI0135,EMP155,2025-Q1,100.0,101.0,101.0,Đạt,EMP001
KPI0136,EMP157,2025-Q1,100.0,90.5,90.5,Đạt,EMP008
KPI0137,EMP158,2025-Q1,100.0,74.9,74.9,Cần cải thiện,EMP008
KPI0138,EMP159,2025-Q1,100.0,108.7,108.7,Xuất sắc,EMP001
KPI0139,EMP161,2025-Q1,100.0,109.2,109.2,Xuất sắc,EMP010
KPI0140,EMP163,2025-Q1,100.0,96.6,96.6,Đạt,EMP003
KPI0141,EMP164,2025-Q1,100.0,105.5,105.5,Xuất sắc,EMP002
KPI0142,EMP166,2025-Q1,100.0,110.4,110.4,Xuất sắc,EMP002
KPI0143,EMP167,2025-Q1,100.0,114.2,114.2,Xuất sắc,EMP010
KPI0144,EMP169,2025-Q1,100.0,105.1,105.1,Xuất sắc,EMP008
KPI0145,EMP170,2025-Q1,100.0,108.4,108.4,Xuất sắc,EMP003
KPI0146,EMP171,2025-Q1,100.0,109.5,109.5,Xuất sắc,EMP002
KPI0147,EMP172,2025-Q1,100.0,111.2,111.2,Xuất sắc,EMP002
KPI0148,EMP173,2025-Q1,100.0,81.5,81.5,Cần cải thiện,EMP008
KPI0149,EMP174,2025-Q1,100.0,114.7,114.7,Xuất sắc,EMP001
KPI0150,EMP175,2025-Q1,100.0,109.1,109.1,Xuất sắc,EMP003
KPI0151,EMP176,2025-Q1,100.0,75.8,75.8,Cần cải thiện,EMP002
KPI0152,EMP177,2025-Q1,100.0,114.1,114.1,Xuất sắc,EMP008
KPI0153,EMP179,2025-Q1,100.0,101.3,101.3,Đạt,EMP001
KPI0154,EMP180,2025-Q1,100.0,112.7,112.7,Xuất sắc,EMP001
KPI0155,EMP182,2025-Q1,100.0,101.0,101.0,Đạt,EMP003
KPI0156,EMP183,2025-Q1,100.0,103.9,103.9,Đạt,EMP002
KPI0157,EMP184,2025-Q1,100.0,72.4,72.4,Cần cải thiện,EMP010
KPI0158,EMP185,2025-Q1,100.0,98.4,98.4,Đạt,EMP002
KPI0159,EMP186,2025-Q1,100.0,93.4,93.4,Đạt,EMP001
KPI0160,EMP187,2025-Q1,100.0,80.7,80.7,Cần cải thiện,EMP010
KPI0161,EMP189,2025-Q1,100.0,91.3,91.3,Đạt,EMP001
KPI0162,EMP190,2025-Q1,100.0,93.7,93.7,Đạt,EMP002
KPI0163,EMP191,2025-Q1,100.0,114.1,114.1,Xuất sắc,EMP001
KPI0164,EMP192,2025-Q1,100.0,76.1,76.1,Cần cải thiện,EMP008
KPI0165,EMP193,2025-Q1,100.0,97.1,97.1,Đạt,EMP001
KPI0166,EMP195,2025-Q1,100.0,77.4,77.4,Cần cải thiện,EMP008
KPI0167,EMP197,2025-Q1,100.0,85.3,85.3,Cần cải thiện,EMP001
KPI0168,EMP198,2025-Q1,100.0,100.7,100.7,Đạt,EMP008
KPI0169,EMP199,2025-Q1,100.0,98.1,98.1,Đạt,EMP002
KPI0170,EMP200,2025-Q1,100.0,92.4,92.4,Đạt,EMP001
KPI0171,EMP201,2025-Q1,100.0,89.6,89.6,Cần cải thiện,EMP003
KPI0172,EMP202,2025-Q1,100.0,109.1,109.1,Xuất sắc,EMP002
KPI0173,EMP203,2025-Q1,100.0,99.8,99.8,Đạt,EMP008
KPI0174,EMP205,2025-Q1,100.0,104.6,104.6,Đạt,EMP002
KPI0175,EMP207,2025-Q1,100.0,76.5,76.5,Cần cải thiện,EMP001
KPI0176,EMP208,2025-Q1,100.0,106.9,106.9,Xuất sắc,EMP001
KPI0177,EMP209,2025-Q1,100.0,90.4,90.4,Đạt,EMP008
KPI0178,EMP210,2025-Q1,100.0,101.7,101.7,Đạt,EMP001
KPI0179,EMP212,2025-Q1,100.0,76.2,76.2,Cần cải thiện,EMP002
KPI0180,EMP213,2025-Q1,100.0,93.3,93.3,Đạt,EMP001
KPI0181,EMP214,2025-Q1,100.0,89.1,89.1,Cần cải thiện,EMP001
KPI0182,EMP217,2025-Q1,100.0,110.6,110.6,Xuất sắc,EMP002
KPI0183,EMP218,2025-Q1,100.0,100.3,100.3,Đạt,EMP001
KPI0184,EMP219,2025-Q1,100.0,95.3,95.3,Đạt,EMP002
KPI0185,EMP221,2025-Q1,100.0,113.2,113.2,Xuất sắc,EMP001
KPI0186,EMP223,2025-Q1,100.0,89.6,89.6,Cần cải thiện,EMP002
KPI0187,EMP225,2025-Q1,100.0,82.2,82.2,Cần cải thiện,EMP001
KPI0188,EMP227,2025-Q1,100.0,95.4,95.4,Đạt,EMP002
KPI0189,EMP228,2025-Q1,100.0,111.0,111.0,Xuất sắc,EMP002
KPI0190,EMP230,2025-Q1,100.0,100.7,100.7,Đạt,EMP010
KPI0191,EMP231,2025-Q1,100.0,73.1,73.1,Cần cải thiện,EMP001
KPI0192,EMP232,2025-Q1,100.0,103.3,103.3,Đạt,EMP001
KPI0193,EMP233,2025-Q1,100.0,89.1,89.1,Cần cải thiện,EMP008
KPI0194,EMP235,2025-Q1,100.0,105.4,105.4,Xuất sắc,EMP008
KPI0195,EMP237,2025-Q1,100.0,99.5,99.5,Đạt,EMP008
KPI0196,EMP238,2025-Q1,100.0,91.8,91.8,Đạt,EMP003
KPI0197,EMP239,2025-Q1,100.0,89.3,89.3,Cần cải thiện,EMP002
KPI0198,EMP240,2025-Q1,100.0,97.5,97.5,Đạt,EMP008
KPI0199,EMP241,2025-Q1,100.0,79.9,79.9,Cần cải thiện,EMP001
KPI0200,EMP243,2025-Q1,100.0,90.6,90.6,Đạt,EMP001
KPI0201,EMP244,2025-Q1,100.0,91.1,91.1,Đạt,EMP008
KPI0202,EMP245,2025-Q1,100.0,107.7,107.7,Xuất sắc,EMP001
KPI0203,EMP246,2025-Q1,100.0,94.1,94.1,Đạt,EMP008
KPI0204,EMP247,2025-Q1,100.0,96.5,96.5,Đạt,EMP001
KPI0205,EMP248,2025-Q1,100.0,101.6,101.6,Đạt,EMP008
KPI0206,EMP249,2025-Q1,100.0,91.2,91.2,Đạt,EMP010
KPI0207,EMP250,2025-Q1,100.0,89.1,89.1,Cần cải thiện,EMP008
KPI0208,EMP001,2025-Q2,100.0,112.8,112.8,Xuất sắc,EMP001
KPI0209,EMP002,2025-Q2,100.0,114.5,114.5,Xuất sắc,EMP001
KPI0210,EMP003,2025-Q2,100.0,86.0,86.0,Cần cải thiện,EMP001
KPI0211,EMP004,2025-Q2,100.0,80.1,80.1,Cần cải thiện,EMP003
KPI0212,EMP005,2025-Q2,100.0,111.4,111.4,Xuất sắc,EMP001
KPI0213,EMP007,2025-Q2,100.0,97.9,97.9,Đạt,EMP001
KPI0214,EMP008,2025-Q2,100.0,110.4,110.4,Xuất sắc,EMP001
KPI0215,EMP009,2025-Q2,100.0,95.1,95.1,Đạt,EMP002
KPI0216,EMP010,2025-Q2,100.0,98.2,98.2,Đạt,EMP001
KPI0217,EMP011,2025-Q2,100.0,91.9,91.9,Đạt,EMP002
KPI0218,EMP012,2025-Q2,100.0,97.0,97.0,Đạt,EMP008
KPI0219,EMP013,2025-Q2,100.0,82.4,82.4,Cần cải thiện,EMP002
KPI0220,EMP014,2025-Q2,100.0,85.7,85.7,Cần cải thiện,EMP003
KPI0221,EMP015,2025-Q2,100.0,95.0,95.0,Đạt,EMP008
KPI0222,EMP016,2025-Q2,100.0,77.8,77.8,Cần cải thiện,EMP010
KPI0223,EMP018,2025-Q2,100.0,72.9,72.9,Cần cải thiện,EMP010
KPI0224,EMP020,2025-Q2,100.0,92.5,92.5,Đạt,EMP002
KPI0225,EMP021,2025-Q2,100.0,92.0,92.0,Đạt,EMP008
KPI0226,EMP022,2025-Q2,100.0,90.7,90.7,Đạt,EMP002
KPI0227,EMP023,2025-Q2,100.0,113.9,113.9,Xuất sắc,EMP002
KPI0228,EMP024,2025-Q2,100.0,107.9,107.9,Xuất sắc,EMP002
KPI0229,EMP025,2025-Q2,100.0,88.3,88.3,Cần cải thiện,EMP001
KPI0230,EMP026,2025-Q2,100.0,73.1,73.1,Cần cải thiện,EMP003
KPI0231,EMP027,2025-Q2,100.0,108.1,108.1,Xuất sắc,EMP002
KPI0232,EMP028,2025-Q2,100.0,111.2,111.2,Xuất sắc,EMP001
KPI0233,EMP029,2025-Q2,100.0,87.9,87.9,Cần cải thiện,EMP002
KPI0234,EMP030,2025-Q2,100.0,103.9,103.9,Đạt,EMP002
KPI0235,EMP031,2025-Q2,100.0,73.1,73.1,Cần cải thiện,EMP002
KPI0236,EMP032,2025-Q2,100.0,73.3,73.3,Cần cải thiện,EMP003
KPI0237,EMP035,2025-Q2,100.0,75.1,75.1,Cần cải thiện,EMP002
KPI0238,EMP036,2025-Q2,100.0,102.6,102.6,Đạt,EMP001
KPI0239,EMP037,2025-Q2,100.0,86.5,86.5,Cần cải thiện,EMP010
KPI0240,EMP038,2025-Q2,100.0,77.4,77.4,Cần cải thiện,EMP001
KPI0241,EMP039,2025-Q2,100.0,75.1,75.1,Cần cải thiện,EMP003
KPI0242,EMP041,2025-Q2,100.0,110.4,110.4,Xuất sắc,EMP008
KPI0243,EMP042,2025-Q2,100.0,105.6,105.6,Xuất sắc,EMP002
KPI0244,EMP043,2025-Q2,100.0,86.2,86.2,Cần cải thiện,EMP003
KPI0245,EMP045,2025-Q2,100.0,95.7,95.7,Đạt,EMP008
KPI0246,EMP046,2025-Q2,100.0,69.3,69.3,Không đạt,EMP008
KPI0247,EMP047,2025-Q2,100.0,75.0,75.0,Cần cải thiện,EMP002
KPI0248,EMP048,2025-Q2,100.0,107.4,107.4,Xuất sắc,EMP001
KPI0249,EMP049,2025-Q2,100.0,97.4,97.4,Đạt,EMP001
KPI0250,EMP051,2025-Q2,100.0,112.8,112.8,Xuất sắc,EMP003
KPI0251,EMP052,2025-Q2,100.0,87.2,87.2,Cần cải thiện,EMP002
KPI0252,EMP053,2025-Q2,100.0,89.0,89.0,Cần cải thiện,EMP002
KPI0253,EMP054,2025-Q2,100.0,106.5,106.5,Xuất sắc,EMP003
KPI0254,EMP055,2025-Q2,100.0,95.0,95.0,Đạt,EMP008
KPI0255,EMP056,2025-Q2,100.0,91.0,91.0,Đạt,EMP001
KPI0256,EMP057,2025-Q2,100.0,99.9,99.9,Đạt,EMP008
KPI0257,EMP058,2025-Q2,100.0,108.2,108.2,Xuất sắc,EMP003
KPI0258,EMP059,2025-Q2,100.0,85.3,85.3,Cần cải thiện,EMP002
KPI0259,EMP060,2025-Q2,100.0,90.4,90.4,Đạt,EMP010
KPI0260,EMP061,2025-Q2,100.0,66.3,66.3,Không đạt,EMP001
KPI0261,EMP062,2025-Q2,100.0,100.0,100.0,Đạt,EMP002
KPI0262,EMP063,2025-Q2,100.0,105.3,105.3,Xuất sắc,EMP010
KPI0263,EMP064,2025-Q2,100.0,72.2,72.2,Cần cải thiện,EMP002
KPI0264,EMP065,2025-Q2,100.0,97.9,97.9,Đạt,EMP003
KPI0265,EMP066,2025-Q2,100.0,71.0,71.0,Cần cải thiện,EMP010
KPI0266,EMP067,2025-Q2,100.0,78.7,78.7,Cần cải thiện,EMP010
KPI0267,EMP068,2025-Q2,100.0,79.7,79.7,Cần cải thiện,EMP008
KPI0268,EMP069,2025-Q2,100.0,94.5,94.5,Đạt,EMP003
KPI0269,EMP071,2025-Q2,100.0,91.2,91.2,Đạt,EMP010
KPI0270,EMP072,2025-Q2,100.0,107.9,107.9,Xuất sắc,EMP001
KPI0271,EMP073,2025-Q2,100.0,76.3,76.3,Cần cải thiện,EMP003
KPI0272,EMP074,2025-Q2,100.0,99.5,99.5,Đạt,EMP001
KPI0273,EMP075,2025-Q2,100.0,114.7,114.7,Xuất sắc,EMP008
KPI0274,EMP076,2025-Q2,100.0,98.9,98.9,Đạt,EMP001
KPI0275,EMP077,2025-Q2,100.0,99.6,99.6,Đạt,EMP008
KPI0276,EMP078,2025-Q2,100.0,105.3,105.3,Xuất sắc,EMP001
KPI0277,EMP079,2025-Q2,100.0,97.4,97.4,Đạt,EMP008
KPI0278,EMP080,2025-Q2,100.0,72.8,72.8,Cần cải thiện,EMP002
KPI0279,EMP081,2025-Q2,100.0,67.3,67.3,Không đạt,EMP001
KPI0280,EMP082,2025-Q2,100.0,85.2,85.2,Cần cải thiện,EMP002
KPI0281,EMP083,2025-Q2,100.0,86.6,86.6,Cần cải thiện,EMP003
KPI0282,EMP084,2025-Q2,100.0,72.6,72.6,Cần cải thiện,EMP008
KPI0283,EMP085,2025-Q2,100.0,99.7,99.7,Đạt,EMP001
KPI0284,EMP086,2025-Q2,100.0,88.8,88.8,Cần cải thiện,EMP001
KPI0285,EMP087,2025-Q2,100.0,98.9,98.9,Đạt,EMP002
KPI0286,EMP088,2025-Q2,100.0,93.2,93.2,Đạt,EMP001
KPI0287,EMP089,2025-Q2,100.0,79.3,79.3,Cần cải thiện,EMP003
KPI0288,EMP090,2025-Q2,100.0,104.4,104.4,Đạt,EMP008
KPI0289,EMP091,2025-Q2,100.0,73.0,73.0,Cần cải thiện,EMP002
KPI0290,EMP092,2025-Q2,100.0,100.4,100.4,Đạt,EMP001
KPI0291,EMP093,2025-Q2,100.0,97.8,97.8,Đạt,EMP002
KPI0292,EMP094,2025-Q2,100.0,78.4,78.4,Cần cải thiện,EMP002
KPI0293,EMP095,2025-Q2,100.0,79.8,79.8,Cần cải thiện,EMP001
KPI0294,EMP096,2025-Q2,100.0,81.8,81.8,Cần cải thiện,EMP010
KPI0295,EMP097,2025-Q2,100.0,80.1,80.1,Cần cải thiện,EMP001
KPI0296,EMP098,2025-Q2,100.0,98.0,98.0,Đạt,EMP002
KPI0297,EMP099,2025-Q2,100.0,107.3,107.3,Xuất sắc,EMP002
KPI0298,EMP100,2025-Q2,100.0,99.3,99.3,Đạt,EMP008
KPI0299,EMP102,2025-Q2,100.0,72.7,72.7,Cần cải thiện,EMP001
KPI0300,EMP103,2025-Q2,100.0,79.2,79.2,Cần cải thiện,EMP001
KPI0301,EMP104,2025-Q2,100.0,73.8,73.8,Cần cải thiện,EMP008
KPI0302,EMP105,2025-Q2,100.0,105.6,105.6,Xuất sắc,EMP001
KPI0303,EMP106,2025-Q2,100.0,93.4,93.4,Đạt,EMP001
KPI0304,EMP107,2025-Q2,100.0,80.4,80.4,Cần cải thiện,EMP001
KPI0305,EMP108,2025-Q2,100.0,112.4,112.4,Xuất sắc,EMP010
KPI0306,EMP109,2025-Q2,100.0,106.9,106.9,Xuất sắc,EMP002
KPI0307,EMP110,2025-Q2,100.0,105.8,105.8,Xuất sắc,EMP001
KPI0308,EMP111,2025-Q2,100.0,110.9,110.9,Xuất sắc,EMP008
KPI0309,EMP112,2025-Q2,100.0,100.0,100.0,Đạt,EMP002
KPI0310,EMP113,2025-Q2,100.0,90.2,90.2,Đạt,EMP001
KPI0311,EMP114,2025-Q2,100.0,83.2,83.2,Cần cải thiện,EMP002
KPI0312,EMP115,2025-Q2,100.0,106.6,106.6,Xuất sắc,EMP001
KPI0313,EMP116,2025-Q2,100.0,91.4,91.4,Đạt,EMP010
KPI0314,EMP118,2025-Q2,100.0,70.5,70.5,Cần cải thiện,EMP008
KPI0315,EMP119,2025-Q2,100.0,86.7,86.7,Cần cải thiện,EMP001
KPI0316,EMP120,2025-Q2,100.0,103.6,103.6,Đạt,EMP010
KPI0317,EMP121,2025-Q2,100.0,84.4,84.4,Cần cải thiện,EMP001
KPI0318,EMP122,2025-Q2,100.0,73.1,73.1,Cần cải thiện,EMP008
KPI0319,EMP123,2025-Q2,100.0,106.8,106.8,Xuất sắc,EMP002
KPI0320,EMP124,2025-Q2,100.0,93.3,93.3,Đạt,EMP010
KPI0321,EMP125,2025-Q2,100.0,83.0,83.0,Cần cải thiện,EMP010
KPI0322,EMP127,2025-Q2,100.0,76.0,76.0,Cần cải thiện,EMP001
KPI0323,EMP128,2025-Q2,100.0,99.6,99.6,Đạt,EMP002
KPI0324,EMP129,2025-Q2,100.0,83.9,83.9,Cần cải thiện,EMP001
KPI0325,EMP131,2025-Q2,100.0,88.8,88.8,Cần cải thiện,EMP002
KPI0326,EMP132,2025-Q2,100.0,100.5,100.5,Đạt,EMP008
KPI0327,EMP133,2025-Q2,100.0,97.7,97.7,Đạt,EMP001
KPI0328,EMP134,2025-Q2,100.0,110.8,110.8,Xuất sắc,EMP002
KPI0329,EMP135,2025-Q2,100.0,101.2,101.2,Đạt,EMP001
