dispatch_id,order_id,warehouse_id,dispatch_date,delivery_status,shipping_carrier,lead_time_hours
DSP-00102,SO-44311,WH-DN01,2024-01-29,DELIVERED,FastLogistics VN,48
DSP-00103,SO-68341,WH-HN01,2024-01-30,DELIVERED,FastLogistics VN,24
DSP-00104,SO-27009,WH-DN01,2024-01-30,DELIVERED,FastLogistics VN,48
DSP-00105,SO-72739,WH-DN01,2024-01-30,DELIVERED,CyberExpress,12
DSP-00106,SO-26821,WH-HCM01,2024-01-31,DELIVERED,FastLogistics VN,48
DSP-00107,SO-52291,WH-DN01,2024-01-31,DELIVERED,CyberExpress,12
DSP-00108,SO-42847,WH-HCM01,2024-01-31,DELIVERED,NinjaVan Hub,24
DSP-00109,SO-91922,WH-HCM01,2024-01-31,DELIVERED,NinjaVan Hub,36
DSP-00110,SO-32103,WH-HN01,2024-02-01,DELIVERED,CyberExpress,24
DSP-00111,SO-54252,WH-HCM01,2024-02-01,DELIVERED,NinjaVan Hub,36
DSP-00112,SO-93753,WH-HCM01,2024-02-01,DELIVERED,FastLogistics VN,24
DSP-00113,SO-94136,WH-HCM01,2024-02-01,DELIVERED,CyberExpress,24
DSP-00114,SO-69446,WH-HCM01,2024-02-01,DELIVERED,FastLogistics VN,24
DSP-00115,SO-51853,WH-HCM01,2024-02-02,DELIVERED,VNPost Logistics,12
DSP-00116,SO-68929,WH-DN01,2024-02-02,DELIVERED,CyberExpress,24
DSP-00117,SO-90658,WH-HN01,2024-02-02,DELIVERED,CyberExpress,24
DSP-00118,SO-50988,WH-HN01,2024-02-03,DELIVERED,VNPost Logistics,36
DSP-00119,SO-69930,WH-HN01,2024-02-03,DELIVERED,CyberExpress,18
DSP-00120,SO-46877,WH-DN01,2024-02-03,DELIVERED,NinjaVan Hub,12
DSP-00121,SO-47453,WH-HCM01,2024-02-03,DELIVERED,VNPost Logistics,18
DSP-00122,SO-83638,WH-DN01,2024-02-04,DELIVERED,FastLogistics VN,36
DSP-00123,SO-76093,WH-DN01,2024-02-04,DELIVERED,FastLogistics VN,36
DSP-00124,SO-15276,WH-HCM01,2024-02-04,RETURNED,FastLogistics VN,12
DSP-00125,SO-78069,WH-HCM01,2024-02-05,DELIVERED,NinjaVan Hub,12
DSP-00126,SO-90356,WH-HCM01,2024-02-05,DELIVERED,FastLogistics VN,48
DSP-00127,SO-87820,WH-HCM01,2024-02-05,DELIVERED,VNPost Logistics,12
DSP-00128,SO-83783,WH-HCM01,2024-02-05,DELIVERED,FastLogistics VN,48
DSP-00129,SO-98317,WH-HN01,2024-02-05,DELIVERED,FastLogistics VN,24
DSP-00130,SO-85711,WH-HCM01,2024-02-06,DELIVERED,VNPost Logistics,24
DSP-00131,SO-85047,WH-HCM01,2024-02-06,DELIVERED,NinjaVan Hub,36
DSP-00132,SO-29848,WH-DN01,2024-02-06,DELIVERED,NinjaVan Hub,48
DSP-00133,SO-79878,WH-DN01,2024-02-07,DELIVERED,CyberExpress,24
DSP-00134,SO-99226,WH-HCM01,2024-02-07,DELIVERED,NinjaVan Hub,24
DSP-00135,SO-83149,WH-HN01,2024-02-07,DELIVERED,NinjaVan Hub,24
DSP-00136,SO-37168,WH-DN01,2024-02-08,DELIVERED,VNPost Logistics,12
DSP-00137,SO-45842,WH-DN01,2024-02-08,DELIVERED,NinjaVan Hub,12
DSP-00138,SO-61712,WH-HCM01,2024-02-08,DELIVERED,NinjaVan Hub,18
DSP-00139,SO-72793,WH-DN01,2024-02-08,DELIVERED,FastLogistics VN,36
DSP-00140,SO-45601,WH-HCM01,2024-02-09,DELIVERED,FastLogistics VN,12
DSP-00141,SO-41779,WH-HCM01,2024-02-09,DELIVERED,VNPost Logistics,36
DSP-00142,SO-40518,WH-HCM01,2024-02-09,DELIVERED,NinjaVan Hub,24
DSP-00143,SO-23178,WH-DN01,2024-02-09,DELIVERED,NinjaVan Hub,36
DSP-00144,SO-95575,WH-HCM01,2024-02-09,DELIVERED,CyberExpress,36
DSP-00145,SO-52096,WH-HN01,2024-02-09,DELIVERED,FastLogistics VN,24
DSP-00146,SO-40437,WH-HN01,2024-02-10,DELIVERED,CyberExpress,24
DSP-00147,SO-42512,WH-HN01,2024-02-11,DELIVERED,FastLogistics VN,24
DSP-00148,SO-53204,WH-HN01,2024-02-11,DELIVERED,FastLogistics VN,48
DSP-00149,SO-95679,WH-HCM01,2024-02-11,RETURNED,VNPost Logistics,12
DSP-00150,SO-50760,WH-HCM01,2024-02-12,DELIVERED,CyberExpress,18
DSP-00151,SO-38947,WH-DN01,2024-02-12,DELIVERED,CyberExpress,12
DSP-00152,SO-81781,WH-HCM01,2024-02-13,DELIVERED,CyberExpress,24
DSP-00153,SO-78202,WH-HN01,2024-02-13,DELIVERED,VNPost Logistics,12
DSP-00154,SO-74071,WH-HN01,2024-02-13,DELIVERED,FastLogistics VN,48
DSP-00155,SO-50392,WH-HCM01,2024-02-13,DELIVERED,FastLogistics VN,48
DSP-00156,SO-85800,WH-HN01,2024-02-14,DELIVERED,VNPost Logistics,24
DSP-00157,SO-80931,WH-DN01,2024-02-14,DELIVERED,FastLogistics VN,24
DSP-00158,SO-94656,WH-HN01,2024-02-14,DELIVERED,CyberExpress,12
DSP-00159,SO-59236,WH-DN01,2024-02-14,DELIVERED,NinjaVan Hub,48
DSP-00160,SO-26691,WH-HCM01,2024-02-15,DELIVERED,VNPost Logistics,36
DSP-00161,SO-55371,WH-HN01,2024-02-15,DELIVERED,FastLogistics VN,24
DSP-00162,SO-12050,WH-HCM01,2024-02-15,DELIVERED,CyberExpress,12
DSP-00163,SO-68515,WH-HN01,2024-02-15,DELIVERED,FastLogistics VN,36
DSP-00164,SO-40715,WH-HN01,2024-02-16,DELIVERED,CyberExpress,24
DSP-00165,SO-38972,WH-HN01,2024-02-16,DELIVERED,NinjaVan Hub,12
DSP-00166,SO-32955,WH-HN01,2024-02-16,DELIVERED,FastLogistics VN,12
DSP-00167,SO-97994,WH-HN01,2024-02-17,DELIVERED,NinjaVan Hub,12
DSP-00168,SO-72065,WH-HN01,2024-02-17,DELIVERED,VNPost Logistics,18
DSP-00169,SO-27575,WH-DN01,2024-02-17,DELIVERED,CyberExpress,24
DSP-00170,SO-20363,WH-HN01,2024-02-18,DELIVERED,FastLogistics VN,24
DSP-00171,SO-19539,WH-HCM01,2024-02-18,DELIVERED,NinjaVan Hub,12
DSP-00172,SO-37762,WH-DN01,2024-02-18,DELIVERED,CyberExpress,36
DSP-00173,SO-47101,WH-HN01,2024-02-19,RETURNED,VNPost Logistics,18
DSP-00174,SO-44283,WH-HCM01,2024-02-19,DELIVERED,FastLogistics VN,36
DSP-00175,SO-71537,WH-DN01,2024-02-19,DELIVERED,NinjaVan Hub,36
DSP-00176,SO-64732,WH-HCM01,2024-02-20,RETURNED,CyberExpress,36
DSP-00177,SO-84683,WH-DN01,2024-02-20,DELIVERED,CyberExpress,36
DSP-00178,SO-43728,WH-HCM01,2024-02-20,DELIVERED,NinjaVan Hub,36
DSP-00179,SO-78674,WH-HCM01,2024-02-21,DELIVERED,CyberExpress,24
DSP-00180,SO-29795,WH-HCM01,2024-02-21,DELIVERED,CyberExpress,24
DSP-00181,SO-90980,WH-DN01,2024-02-21,DELIVERED,FastLogistics VN,12
DSP-00182,SO-82305,WH-HN01,2024-02-21,DELIVERED,CyberExpress,36
DSP-00183,SO-80220,WH-HCM01,2024-02-22,DELIVERED,NinjaVan Hub,18
DSP-00184,SO-33496,WH-HCM01,2024-02-22,DELIVERED,FastLogistics VN,48
DSP-00185,SO-63218,WH-DN01,2024-02-22,DELIVERED,VNPost Logistics,12
DSP-00186,SO-99658,WH-HCM01,2024-02-22,DELIVERED,VNPost Logistics,36
DSP-00187,SO-72390,WH-DN01,2024-02-23,DELIVERED,NinjaVan Hub,18
DSP-00188,SO-75517,WH-HCM01,2024-02-23,DELIVERED,FastLogistics VN,12
DSP-00189,SO-79226,WH-DN01,2024-02-23,DELIVERED,NinjaVan Hub,48
DSP-00190,SO-45532,WH-HCM01,2024-02-23,RETURNED,FastLogistics VN,24
DSP-00191,SO-49226,WH-HCM01,2024-02-23,DELIVERED,NinjaVan Hub,24
DSP-00192,SO-80852,WH-HCM01,2024-02-24,DELIVERED,CyberExpress,48
DSP-00193,SO-20279,WH-HCM01,2024-02-24,DELIVERED,CyberExpress,12
DSP-00194,SO-54642,WH-DN01,2024-02-24,DELIVERED,CyberExpress,36
DSP-00195,SO-66603,WH-DN01,2024-02-25,DELIVERED,CyberExpress,18
DSP-00196,SO-91083,WH-HCM01,2024-02-25,DELIVERED,CyberExpress,18
DSP-00197,SO-61068,WH-HCM01,2024-02-25,DELIVERED,NinjaVan Hub,12
DSP-00198,SO-68292,WH-HN01,2024-02-25,DELIVERED,NinjaVan Hub,18
DSP-00199,SO-23538,WH-HCM01,2024-02-26,DELIVERED,NinjaVan Hub,18
DSP-00200,SO-88386,WH-HCM01,2024-02-26,DELIVERED,CyberExpress,36
DSP-00201,SO-46170,WH-HN01,2024-02-26,RETURNED,VNPost Logistics,36
DSP-00202,SO-42321,WH-HN01,2024-02-27,DELIVERED,VNPost Logistics,48
DSP-00203,SO-27758,WH-HN01,2024-02-27,DELIVERED,FastLogistics VN,48
DSP-00204,SO-59792,WH-DN01,2024-02-27,DELIVERED,FastLogistics VN,24
DSP-00205,SO-27842,WH-DN01,2024-02-27,RETURNED,VNPost Logistics,48
DSP-00206,SO-51180,WH-HCM01,2024-02-28,DELIVERED,NinjaVan Hub,48
DSP-00207,SO-24927,WH-DN01,2024-02-28,DELIVERED,VNPost Logistics,36
DSP-00208,SO-82102,WH-HCM01,2024-02-28,DELIVERED,NinjaVan Hub,18
DSP-00209,SO-65460,WH-HCM01,2024-02-29,DELIVERED,FastLogistics VN,12
DSP-00210,SO-62534,WH-HCM01,2024-02-29,DELIVERED,CyberExpress,18
DSP-00211,SO-87833,WH-DN01,2024-02-29,DELIVERED,FastLogistics VN,24
DSP-00212,SO-56531,WH-HN01,2024-02-29,DELIVERED,VNPost Logistics,12
DSP-00213,SO-98797,WH-HN01,2024-02-29,DELIVERED,NinjaVan Hub,12
DSP-00214,SO-83137,WH-HCM01,2024-03-01,DELIVERED,VNPost Logistics,48
DSP-00215,SO-87147,WH-DN01,2024-03-01,DELIVERED,VNPost Logistics,48
DSP-00216,SO-48722,WH-HN01,2024-03-01,DELIVERED,VNPost Logistics,12
DSP-00217,SO-18804,WH-HCM01,2024-03-02,DELIVERED,NinjaVan Hub,24
DSP-00218,SO-54967,WH-HCM01,2024-03-02,DELIVERED,VNPost Logistics,48
DSP-00219,SO-77632,WH-HN01,2024-03-02,DELIVERED,VNPost Logistics,48
DSP-00220,SO-90492,WH-DN01,2024-03-03,DELIVERED,FastLogistics VN,48
DSP-00221,SO-38153,WH-DN01,2024-03-03,DELIVERED,CyberExpress,12
DSP-00222,SO-23336,WH-HCM01,2024-03-03,DELIVERED,VNPost Logistics,18
DSP-00223,SO-44387,WH-HN01,2024-03-03,DELIVERED,NinjaVan Hub,48
DSP-00224,SO-60939,WH-HCM01,2024-03-03,DELIVERED,VNPost Logistics,24
DSP-00225,SO-90918,WH-DN01,2024-03-04,DELIVERED,NinjaVan Hub,48
DSP-00226,SO-50026,WH-DN01,2024-03-04,DELIVERED,FastLogistics VN,18
DSP-00227,SO-65448,WH-HN01,2024-03-04,DELIVERED,FastLogistics VN,18
DSP-00228,SO-32706,WH-HCM01,2024-03-05,DELIVERED,CyberExpress,18
DSP-00229,SO-69113,WH-HN01,2024-03-05,DELIVERED,CyberExpress,24
DSP-00230,SO-48284,WH-HN01,2024-03-05,DELIVERED,NinjaVan Hub,18
DSP-00231,SO-69942,WH-HCM01,2024-03-05,DELIVERED,VNPost Logistics,36
DSP-00232,SO-45112,WH-HN01,2024-03-06,DELIVERED,CyberExpress,24
DSP-00233,SO-67850,WH-HN01,2024-03-06,DELIVERED,NinjaVan Hub,18
DSP-00234,SO-25386,WH-DN01,2024-03-06,DELIVERED,VNPost Logistics,36
DSP-00235,SO-55957,WH-HCM01,2024-03-06,DELIVERED,VNPost Logistics,24
DSP-00236,SO-17780,WH-HN01,2024-03-07,DELIVERED,FastLogistics VN,48
DSP-00237,SO-52421,WH-HCM01,2024-03-07,RETURNED,VNPost Logistics,18
DSP-00238,SO-22481,WH-DN01,2024-03-07,DELIVERED,NinjaVan Hub,18
DSP-00239,SO-98635,WH-HCM01,2024-03-07,DELIVERED,VNPost Logistics,36
DSP-00240,SO-92288,WH-HCM01,2024-03-08,DELIVERED,NinjaVan Hub,12
DSP-00241,SO-62802,WH-HN01,2024-03-08,DELIVERED,VNPost Logistics,24
DSP-00242,SO-45197,WH-DN01,2024-03-08,DELIVERED,VNPost Logistics,36
DSP-00243,SO-30707,WH-DN01,2024-03-09,DELIVERED,FastLogistics VN,36
DSP-00244,SO-27290,WH-DN01,2024-03-09,DELIVERED,CyberExpress,36
DSP-00245,SO-57242,WH-DN01,2024-03-09,DELIVERED,FastLogistics VN,18
DSP-00246,SO-16787,WH-HCM01,2024-03-10,DELIVERED,VNPost Logistics,12
DSP-00247,SO-66260,WH-HCM01,2024-03-10,DELIVERED,VNPost Logistics,12
DSP-00248,SO-11217,WH-HCM01,2024-03-10,DELIVERED,VNPost Logistics,48
DSP-00249,SO-23526,WH-HN01,2024-03-10,DELIVERED,NinjaVan Hub,12
DSP-00250,SO-27451,WH-DN01,2024-03-11,DELIVERED,VNPost Logistics,36
DSP-00251,SO-95199,WH-HCM01,2024-03-11,DELIVERED,CyberExpress,24
DSP-00252,SO-29840,WH-HCM01,2024-03-11,RETURNED,NinjaVan Hub,36
DSP-00253,SO-23168,WH-DN01,2024-03-11,DELIVERED,CyberExpress,36
DSP-00254,SO-94491,WH-HN01,2024-03-12,DELIVERED,FastLogistics VN,12
DSP-00255,SO-89638,WH-HCM01,2024-03-12,DELIVERED,FastLogistics VN,18
DSP-00256,SO-87847,WH-HN01,2024-03-12,DELIVERED,CyberExpress,12
DSP-00257,SO-27299,WH-HN01,2024-03-12,DELIVERED,CyberExpress,12
DSP-00258,SO-38277,WH-HN01,2024-03-13,DELIVERED,VNPost Logistics,24
DSP-00259,SO-36633,WH-DN01,2024-03-13,DELIVERED,CyberExpress,18
DSP-00260,SO-95175,WH-DN01,2024-03-14,DELIVERED,VNPost Logistics,24
DSP-00261,SO-17589,WH-DN01,2024-03-14,DELIVERED,VNPost Logistics,18
DSP-00262,SO-90254,WH-DN01,2024-03-14,DELIVERED,NinjaVan Hub,48
DSP-00263,SO-33022,WH-HCM01,2024-03-14,DELIVERED,CyberExpress,36
DSP-00264,SO-31473,WH-HN01,2024-03-14,DELIVERED,FastLogistics VN,12
DSP-00265,SO-25473,WH-HCM01,2024-03-15,DELIVERED,NinjaVan Hub,24
DSP-00266,SO-18371,WH-DN01,2024-03-15,DELIVERED,FastLogistics VN,12
DSP-00267,SO-85223,WH-DN01,2024-03-15,DELIVERED,CyberExpress,48
DSP-00268,SO-11610,WH-HCM01,2024-03-15,DELIVERED,VNPost Logistics,24
DSP-00269,SO-33456,WH-DN01,2024-03-16,DELIVERED,CyberExpress,12
DSP-00270,SO-64967,WH-HCM01,2024-03-16,DELIVERED,CyberExpress,48
DSP-00271,SO-45554,WH-DN01,2024-03-16,DELIVERED,FastLogistics VN,12
DSP-00272,SO-16903,WH-HN01,2024-03-16,DELIVERED,CyberExpress,12
DSP-00273,SO-19034,WH-HCM01,2024-03-16,DELIVERED,FastLogistics VN,18
DSP-00274,SO-91620,WH-HCM01,2024-03-17,DELIVERED,FastLogistics VN,24
DSP-00275,SO-81638,WH-HCM01,2024-03-17,DELIVERED,FastLogistics VN,24
DSP-00276,SO-80981,WH-DN01,2024-03-17,DELIVERED,NinjaVan Hub,18
DSP-00277,SO-10191,WH-HCM01,2024-03-17,DELIVERED,FastLogistics VN,24
DSP-00278,SO-46677,WH-HN01,2024-03-18,DELIVERED,FastLogistics VN,48
DSP-00279,SO-58823,WH-HN01,2024-03-18,DELIVERED,FastLogistics VN,18
DSP-00280,SO-84425,WH-DN01,2024-03-18,RETURNED,VNPost Logistics,18
DSP-00281,SO-44208,WH-HN01,2024-03-18,DELIVERED,NinjaVan Hub,36
DSP-00282,SO-24283,WH-HN01,2024-03-19,DELIVERED,VNPost Logistics,24
DSP-00283,SO-63282,WH-DN01,2024-03-19,DELIVERED,FastLogistics VN,48
DSP-00284,SO-70731,WH-HN01,2024-03-19,RETURNED,NinjaVan Hub,12
DSP-00285,SO-42534,WH-DN01,2024-03-19,DELIVERED,FastLogistics VN,18
DSP-00286,SO-44100,WH-HN01,2024-03-19,DELIVERED,VNPost Logistics,36
DSP-00287,SO-82105,WH-DN01,2024-03-20,DELIVERED,VNPost Logistics,18
DSP-00288,SO-11567,WH-HN01,2024-03-20,DELIVERED,FastLogistics VN,12
DSP-00289,SO-46681,WH-HN01,2024-03-21,DELIVERED,VNPost Logistics,24
DSP-00290,SO-81258,WH-HCM01,2024-03-22,DELIVERED,FastLogistics VN,12
DSP-00291,SO-60905,WH-HCM01,2024-03-22,DELIVERED,VNPost Logistics,36
DSP-00292,SO-13840,WH-DN01,2024-03-22,DELIVERED,CyberExpress,24
DSP-00293,SO-86544,WH-DN01,2024-03-22,DELIVERED,VNPost Logistics,24
DSP-00294,SO-85457,WH-HCM01,2024-03-23,DELIVERED,NinjaVan Hub,12
DSP-00295,SO-87662,WH-HN01,2024-03-23,DELIVERED,CyberExpress,24
DSP-00296,SO-12612,WH-HN01,2024-03-24,DELIVERED,VNPost Logistics,18
DSP-00297,SO-54663,WH-HCM01,2024-03-24,DELIVERED,FastLogistics VN,18
DSP-00298,SO-78982,WH-HN01,2024-03-24,DELIVERED,NinjaVan Hub,12
DSP-00299,SO-67261,WH-DN01,2024-03-25,DELIVERED,NinjaVan Hub,48
DSP-00300,SO-90440,WH-HN01,2024-03-25,DELIVERED,FastLogistics VN,36
DSP-00301,SO-50215,WH-HCM01,2024-03-25,DELIVERED,VNPost Logistics,24
DSP-00302,SO-85082,WH-HCM01,2024-03-25,DELIVERED,VNPost Logistics,36
DSP-00303,SO-21629,WH-DN01,2024-03-26,RETURNED,FastLogistics VN,12
DSP-00304,SO-18885,WH-DN01,2024-03-26,DELIVERED,NinjaVan Hub,48
DSP-00305,SO-16310,WH-HN01,2024-03-26,RETURNED,NinjaVan Hub,24
DSP-00306,SO-74629,WH-DN01,2024-03-27,DELIVERED,FastLogistics VN,48
DSP-00307,SO-85766,WH-DN01,2024-03-27,DELIVERED,FastLogistics VN,24
DSP-00308,SO-12631,WH-HN01,2024-03-27,DELIVERED,FastLogistics VN,48
