movement_id,timestamp,warehouse_id,product_id,movement_type,direction,quantity,unit_cost,reference_doc,notes
MOV-00021,2024-01-01 08:00:00,WH-HN01,PROD-021,INBOUND_PO,IN,43,130.48,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00022,2024-01-01 08:00:00,WH-HN01,PROD-022,INBOUND_PO,IN,34,159.45,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00023,2024-01-01 08:00:00,WH-HN01,PROD-023,INBOUND_PO,IN,39,114.8,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00024,2024-01-01 08:00:00,WH-HN01,PROD-024,INBOUND_PO,IN,28,33.84,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00025,2024-01-01 08:00:00,WH-HN01,PROD-025,INBOUND_PO,IN,39,142.37,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00026,2024-01-01 08:00:00,WH-HN01,PROD-026,INBOUND_PO,IN,34,141.61,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00027,2024-01-01 08:00:00,WH-HN01,PROD-027,INBOUND_PO,IN,37,40.94,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00028,2024-01-01 08:00:00,WH-HN01,PROD-028,INBOUND_PO,IN,33,20.77,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00029,2024-01-01 08:00:00,WH-HN01,PROD-029,INBOUND_PO,IN,41,142.68,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00030,2024-01-01 08:00:00,WH-HN01,PROD-030,INBOUND_PO,IN,42,27.83,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00031,2024-01-01 08:00:00,WH-HN01,PROD-031,INBOUND_PO,IN,40,152.45,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00032,2024-01-01 08:00:00,WH-HN01,PROD-032,INBOUND_PO,IN,39,94.58,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00033,2024-01-01 08:00:00,WH-HN01,PROD-033,INBOUND_PO,IN,27,159.31,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00034,2024-01-01 08:00:00,WH-HN01,PROD-034,INBOUND_PO,IN,44,35.18,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00035,2024-01-01 08:00:00,WH-HN01,PROD-035,INBOUND_PO,IN,26,50.68,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00036,2024-01-01 08:00:00,WH-HN01,PROD-036,INBOUND_PO,IN,38,50.51,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00037,2024-01-01 08:00:00,WH-HN01,PROD-037,INBOUND_PO,IN,35,57.54,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00038,2024-01-01 08:00:00,WH-HN01,PROD-038,INBOUND_PO,IN,44,99.09,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00039,2024-01-01 08:00:00,WH-HN01,PROD-039,INBOUND_PO,IN,33,31.39,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00040,2024-01-01 08:00:00,WH-HN01,PROD-040,INBOUND_PO,IN,25,140.66,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00041,2024-01-01 08:00:00,WH-HN01,PROD-041,INBOUND_PO,IN,27,66.18,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00042,2024-01-01 08:00:00,WH-HN01,PROD-042,INBOUND_PO,IN,32,81.7,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00043,2024-01-01 08:00:00,WH-HN01,PROD-043,INBOUND_PO,IN,43,149.1,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00044,2024-01-01 08:00:00,WH-HN01,PROD-044,INBOUND_PO,IN,43,94.76,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00045,2024-01-01 08:00:00,WH-HN01,PROD-045,INBOUND_PO,IN,25,51.57,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00046,2024-01-01 08:00:00,WH-HN01,PROD-046,INBOUND_PO,IN,33,146.15,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00047,2024-01-01 08:00:00,WH-HN01,PROD-047,INBOUND_PO,IN,43,129.34,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00048,2024-01-01 08:00:00,WH-HN01,PROD-048,INBOUND_PO,IN,26,159.35,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00049,2024-01-01 08:00:00,WH-HN01,PROD-049,INBOUND_PO,IN,30,48.91,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00050,2024-01-01 08:00:00,WH-HN01,PROD-050,INBOUND_PO,IN,40,25.12,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00051,2024-01-01 08:00:00,WH-DN01,PROD-001,INBOUND_PO,IN,41,108.8,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00052,2024-01-01 08:00:00,WH-DN01,PROD-002,INBOUND_PO,IN,45,122.58,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00053,2024-01-01 08:00:00,WH-DN01,PROD-003,INBOUND_PO,IN,39,22.23,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00054,2024-01-01 08:00:00,WH-DN01,PROD-004,INBOUND_PO,IN,33,110.28,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00055,2024-01-01 08:00:00,WH-DN01,PROD-005,INBOUND_PO,IN,30,132.94,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00056,2024-01-01 08:00:00,WH-DN01,PROD-006,INBOUND_PO,IN,43,57.46,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00057,2024-01-01 08:00:00,WH-DN01,PROD-007,INBOUND_PO,IN,38,31.73,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00058,2024-01-01 08:00:00,WH-DN01,PROD-008,INBOUND_PO,IN,45,83.24,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00059,2024-01-01 08:00:00,WH-DN01,PROD-009,INBOUND_PO,IN,40,135.78,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00060,2024-01-01 08:00:00,WH-DN01,PROD-010,INBOUND_PO,IN,27,27.88,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00061,2024-01-01 08:00:00,WH-DN01,PROD-011,INBOUND_PO,IN,40,141.04,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00062,2024-01-01 08:00:00,WH-DN01,PROD-012,INBOUND_PO,IN,36,41.1,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00063,2024-01-01 08:00:00,WH-DN01,PROD-013,INBOUND_PO,IN,38,110.02,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00064,2024-01-01 08:00:00,WH-DN01,PROD-014,INBOUND_PO,IN,35,41.2,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00065,2024-01-01 08:00:00,WH-DN01,PROD-015,INBOUND_PO,IN,35,127.1,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00066,2024-01-01 08:00:00,WH-DN01,PROD-016,INBOUND_PO,IN,28,56.02,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00067,2024-01-01 08:00:00,WH-DN01,PROD-017,INBOUND_PO,IN,30,74.18,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00068,2024-01-01 08:00:00,WH-DN01,PROD-018,INBOUND_PO,IN,35,53.02,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00069,2024-01-01 08:00:00,WH-DN01,PROD-019,INBOUND_PO,IN,38,145.49,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00070,2024-01-01 08:00:00,WH-DN01,PROD-020,INBOUND_PO,IN,40,30.91,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00071,2024-01-01 08:00:00,WH-DN01,PROD-021,INBOUND_PO,IN,34,130.48,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00072,2024-01-01 08:00:00,WH-DN01,PROD-022,INBOUND_PO,IN,37,159.45,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00073,2024-01-01 08:00:00,WH-DN01,PROD-023,INBOUND_PO,IN,42,114.8,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00074,2024-01-01 08:00:00,WH-DN01,PROD-024,INBOUND_PO,IN,26,33.84,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00075,2024-01-01 08:00:00,WH-DN01,PROD-025,INBOUND_PO,IN,39,142.37,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00076,2024-01-01 08:00:00,WH-DN01,PROD-026,INBOUND_PO,IN,27,141.61,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00077,2024-01-01 08:00:00,WH-DN01,PROD-027,INBOUND_PO,IN,35,40.94,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00078,2024-01-01 08:00:00,WH-DN01,PROD-028,INBOUND_PO,IN,33,20.77,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00079,2024-01-01 08:00:00,WH-DN01,PROD-029,INBOUND_PO,IN,35,142.68,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00080,2024-01-01 08:00:00,WH-DN01,PROD-030,INBOUND_PO,IN,28,27.83,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00081,2024-01-01 08:00:00,WH-DN01,PROD-031,INBOUND_PO,IN,37,,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00082,2024-01-01 08:00:00,WH-DN01,PROD-032,INBOUND_PO,IN,41,94.58,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00083,2024-01-01 08:00:00,WH-DN01,PROD-033,INBOUND_PO,IN,25,159.31,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00084,2024-01-01 08:00:00,WH-DN01,PROD-034,INBOUND_PO,IN,42,35.18,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00085,2024-01-01 08:00:00,WH-DN01,PROD-035,INBOUND_PO,IN,39,50.68,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00086,2024-01-01 08:00:00,WH-DN01,PROD-036,INBOUND_PO,IN,38,50.51,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00087,2024-01-01 08:00:00,WH-DN01,PROD-037,INBOUND_PO,IN,26,57.54,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00088,2024-01-01 08:00:00,WH-DN01,PROD-038,INBOUND_PO,IN,31,99.09,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00089,2024-01-01 08:00:00,WH-DN01,PROD-039,INBOUND_PO,IN,41,31.39,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00090,2024-01-01 08:00:00,WH-DN01,PROD-040,INBOUND_PO,IN,36,140.66,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00091,2024-01-01 08:00:00,WH-DN01,PROD-041,INBOUND_PO,IN,44,66.18,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00092,2024-01-01 08:00:00,WH-DN01,PROD-042,INBOUND_PO,IN,40,81.7,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00093,2024-01-01 08:00:00,WH-DN01,PROD-043,INBOUND_PO,IN,45,149.1,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00094,2024-01-01 08:00:00,WH-DN01,PROD-044,INBOUND_PO,IN,39,94.76,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00095,2024-01-01 08:00:00,WH-DN01,PROD-045,INBOUND_PO,IN,26,51.57,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00096,2024-01-01 08:00:00,WH-DN01,PROD-046,INBOUND_PO,IN,31,146.15,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00097,2024-01-01 08:00:00,WH-DN01,PROD-047,INBOUND_PO,IN,33,129.34,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00098,2024-01-01 08:00:00,WH-DN01,PROD-048,INBOUND_PO,IN,42,159.35,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00099,2024-01-01 08:00:00,WH-DN01,PROD-049,INBOUND_PO,IN,29,48.91,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00100,2024-01-01 08:00:00,WH-DN01,PROD-050,INBOUND_PO,IN,34,25.12,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00101,2024-01-01 08:00:00,WH-HCM01,PROD-001,INBOUND_PO,IN,39,108.8,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00102,2024-01-01 08:00:00,WH-HCM01,PROD-002,INBOUND_PO,IN,40,122.58,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00103,2024-01-01 08:00:00,WH-HCM01,PROD-003,INBOUND_PO,IN,28,22.23,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00104,2024-01-01 08:00:00,WH-HCM01,PROD-004,INBOUND_PO,IN,25,110.28,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00105,2024-01-01 08:00:00,WH-HCM01,PROD-005,INBOUND_PO,IN,45,132.94,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00106,2024-01-01 08:00:00,WH-HCM01,PROD-006,INBOUND_PO,IN,44,57.46,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00107,2024-01-01 08:00:00,WH-HCM01,PROD-007,INBOUND_PO,IN,32,31.73,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00108,2024-01-01 08:00:00,WH-HCM01,PROD-008,INBOUND_PO,IN,30,83.24,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00109,2024-01-01 08:00:00,WH-HCM01,PROD-009,INBOUND_PO,IN,34,135.78,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00110,2024-01-01 08:00:00,WH-HCM01,PROD-010,INBOUND_PO,IN,42,27.88,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00111,2024-01-01 08:00:00,WH-HCM01,PROD-011,INBOUND_PO,IN,25,141.04,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00112,2024-01-01 08:00:00,WH-HCM01,PROD-012,INBOUND_PO,IN,42,41.1,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00113,2024-01-01 08:00:00,WH-HCM01,PROD-013,INBOUND_PO,IN,38,110.02,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00114,2024-01-01 08:00:00,WH-HCM01,PROD-014,INBOUND_PO,IN,27,41.2,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00115,2024-01-01 08:00:00,WH-HCM01,PROD-015,INBOUND_PO,IN,32,127.1,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00116,2024-01-01 08:00:00,WH-HCM01,PROD-016,INBOUND_PO,IN,28,56.02,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00117,2024-01-01 08:00:00,WH-HCM01,PROD-017,INBOUND_PO,IN,39,74.18,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00118,2024-01-01 08:00:00,WH-HCM01,PROD-018,INBOUND_PO,IN,28,53.02,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00119,2024-01-01 08:00:00,WH-HCM01,PROD-019,INBOUND_PO,IN,45,145.49,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00120,2024-01-01 08:00:00,WH-HCM01,PROD-020,INBOUND_PO,IN,29,30.91,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00121,2024-01-01 08:00:00,WH-HCM01,PROD-021,INBOUND_PO,IN,40,130.48,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00122,2024-01-01 08:00:00,WH-HCM01,PROD-022,INBOUND_PO,IN,34,159.45,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00123,2024-01-01 08:00:00,WH-HCM01,PROD-023,INBOUND_PO,IN,41,114.8,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00124,2024-01-01 08:00:00,WH-HCM01,PROD-024,INBOUND_PO,IN,33,33.84,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00125,2024-01-01 08:00:00,WH-HCM01,PROD-025,INBOUND_PO,IN,38,142.37,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00126,2024-01-01 08:00:00,WH-HCM01,PROD-026,INBOUND_PO,IN,40,141.61,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00127,2024-01-01 08:00:00,WH-HCM01,PROD-027,INBOUND_PO,IN,40,40.94,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00128,2024-01-01 08:00:00,WH-HCM01,PROD-028,INBOUND_PO,IN,32,20.77,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00129,2024-01-01 08:00:00,WH-HCM01,PROD-029,INBOUND_PO,IN,39,142.68,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00130,2024-01-01 08:00:00,WH-HCM01,PROD-030,INBOUND_PO,IN,42,27.83,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00131,2024-01-01 08:00:00,WH-HCM01,PROD-031,INBOUND_PO,IN,29,152.45,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00132,2024-01-01 08:00:00,WH-HCM01,PROD-032,INBOUND_PO,IN,37,94.58,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00133,2024-01-01 08:00:00,WH-HCM01,PROD-033,INBOUND_PO,IN,31,159.31,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00134,2024-01-01 08:00:00,WH-HCM01,PROD-034,INBOUND_PO,IN,44,35.18,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00135,2024-01-01 08:00:00,WH-HCM01,PROD-035,INBOUND_PO,IN,41,50.68,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00136,2024-01-01 08:00:00,WH-HCM01,PROD-036,INBOUND_PO,IN,29,50.51,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00137,2024-01-01 08:00:00,WH-HCM01,PROD-037,INBOUND_PO,IN,27,57.54,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00138,2024-01-01 08:00:00,WH-HCM01,PROD-038,INBOUND_PO,IN,33,99.09,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00139,2024-01-01 08:00:00,WH-HCM01,PROD-039,INBOUND_PO,IN,38,31.39,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00140,2024-01-01 08:00:00,WH-HCM01,PROD-040,INBOUND_PO,IN,35,140.66,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00141,2024-01-01 08:00:00,WH-HCM01,PROD-041,INBOUND_PO,IN,41,66.18,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00142,2024-01-01 08:00:00,WH-HCM01,PROD-042,INBOUND_PO,IN,33,81.7,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00143,2024-01-01 08:00:00,WH-HCM01,PROD-043,INBOUND_PO,IN,25,149.1,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00144,2024-01-01 08:00:00,WH-HCM01,PROD-044,INBOUND_PO,IN,34,94.76,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00145,2024-01-01 08:00:00,WH-HCM01,PROD-045,INBOUND_PO,IN,34,51.57,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00146,2024-01-01 08:00:00,WH-HCM01,PROD-046,INBOUND_PO,IN,43,146.15,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00147,2024-01-01 08:00:00,WH-HCM01,PROD-047,INBOUND_PO,IN,43,129.34,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00148,2024-01-01 08:00:00,WH-HCM01,PROD-048,INBOUND_PO,IN,40,159.35,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00149,2024-01-01 08:00:00,WH-HCM01,PROD-049,INBOUND_PO,IN,29,48.91,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00150,2024-01-01 08:00:00,WH-HCM01,PROD-050,INBOUND_PO,IN,39,25.12,INIT-BALANCE-2024,So du dau ky nam 2024
MOV-00151,2024-01-02 14:30:00,WH-HCM01,PROD-049,OUTBOUND_SALE,OUT,11,48.91,SO-59441,Xuat ban hang khach le & doanh nghiep
MOV-00152,2024-01-02 20:30:00,WH-HN01,PROD-045,RETURN_CUSTOMER,IN,1,51.57,RMA-7274,CHUA_KIEM_DINH_PENDING_QA
MOV-00153,2024-01-03 00:30:00,WH-DN01,PROD-003,TRANSFER_OUT,OUT,9,22.23,TRF-8749,Dieu chuyen xuat sang WH-HCM01
MOV-00155,2024-01-03 06:30:00,WH-HCM01,PROD-010,SCRAP_DAMAGED,OUT,2,27.88,SCRAP-1606,Xuat huy hang can date/hong vo trong kho
MOV-00156,2024-01-03 10:30:00,WH-HCM01,PROD-022,OUTBOUND_SALE,OUT,4,159.45,SO-67711,Xuat ban hang khach le & doanh nghiep
MOV-00157,2024-01-03 13:30:00,WH-DN01,PROD-001,OUTBOUND_SALE,OUT,14,108.8,SO-28894,Xuat ban hang khach le & doanh nghiep
MOV-00158,2024-01-03 19:30:00,WH-HN01,PROD-005,TRANSFER_OUT,OUT,10,132.94,TRF-5342,Dieu chuyen xuat sang WH-HCM01
MOV-00160,2024-01-04 01:30:00,WH-DN01,PROD-044,OUTBOUND_SALE,OUT,11,94.76,SO-59808,Xuat ban hang khach le & doanh nghiep
MOV-00161,2024-01-04 06:30:00,WH-DN01,PROD-035,OUTBOUND_SALE,OUT,3,50.68,SO-90931,Xuat ban hang khach le & doanh nghiep
MOV-00162,2024-01-04 09:30:00,WH-HCM01,PROD-019,OUTBOUND_SALE,OUT,6,145.49,SO-21846,Xuat ban hang khach le & doanh nghiep
MOV-00154,2024-01-04 12:30:00,WH-HCM01,PROD-003,TRANSFER_IN,IN,9,22.23,TRF-8749,Dieu chuyen nhap tu WH-DN01
MOV-00163,2024-01-04 15:30:00,WH-HCM01,PROD-046,RETURN_VENDOR,OUT,1,146.15,RTV-8269,Tra hang loi cho nha cung cap
MOV-00164,2024-01-04 19:30:00,WH-HN01,PROD-003,INBOUND_PO,IN,40,22.23,PO-2024-008,Nhap hang theo don mua nha cung cap
MOV-00165,2024-01-05 00:30:00,WH-DN01,PROD-010,OUTBOUND_SALE,OUT,6,27.88,SO-79621,Xuat ban hang khach le & doanh nghiep
MOV-00166,2024-01-05 06:30:00,WH-HN01,PROD-011,OUTBOUND_SALE,OUT,5,141.04,SO-20350,Xuat ban hang khach le & doanh nghiep
MOV-00159,2024-01-05 07:30:00,WH-HCM01,PROD-005,TRANSFER_IN,IN,10,132.94,TRF-5342,Dieu chuyen nhap tu WH-HN01
MOV-00167,2024-01-05 12:30:00,WH-HN01,PROD-032,OUTBOUND_SALE,OUT,12,94.58,SO-28758,Xuat ban hang khach le & doanh nghiep
MOV-00168,2024-01-05 16:30:00,WH-DN01,PROD-030,OUTBOUND_SALE,OUT,7,27.83,SO-97404,Xuat ban hang khach le & doanh nghiep
MOV-00169,2024-01-05 19:30:00,WH-DN01,PROD-019,TRANSFER_OUT,OUT,4,145.49,TRF-8237,Dieu chuyen xuat sang WH-HN01
MOV-00171,2024-01-06 00:30:00,WH-DN01,PROD-045,OUTBOUND_SALE,OUT,7,51.57,SO-69878,Xuat ban hang khach le & doanh nghiep
MOV-00172,2024-01-06 05:30:00,WH-DN01,PROD-031,OUTBOUND_SALE,OUT,4,152.45,SO-41091,Xuat ban hang khach le & doanh nghiep
MOV-00173,2024-01-06 11:30:00,WH-HCM01,PROD-019,OUTBOUND_SALE,OUT,14,145.49,SO-48696,Xuat ban hang khach le & doanh nghiep
MOV-00174,2024-01-06 14:30:00,WH-HCM01,PROD-026,RETURN_VENDOR,OUT,2,141.61,RTV-1132,Tra hang loi cho nha cung cap
MOV-00175,2024-01-06 17:30:00,WH-HCM01,PROD-032,TRANSFER_OUT,OUT,10,94.58,TRF-4770,Dieu chuyen xuat sang WH-DN01
MOV-00177,2024-01-06 21:30:00,WH-HCM01,PROD-017,OUTBOUND_SALE,OUT,13,74.18,SO-96400,Xuat ban hang khach le & doanh nghiep
MOV-00178,2024-01-07 01:30:00,WH-HCM01,PROD-042,OUTBOUND_SALE,OUT,3,81.7,SO-50492,Xuat ban hang khach le & doanh nghiep
MOV-00170,2024-01-07 07:30:00,WH-HN01,PROD-019,TRANSFER_IN,IN,4,145.49,TRF-8237,Dieu chuyen nhap tu WH-DN01
MOV-00179,2024-02-15 08:00:00,WH-DN01,PROD-047,OUTBOUND_SALE,OUT,5,129.34,SO-21813,Xuat ban hang khach le & doanh nghiep
MOV-00180,2024-01-07 12:30:00,WH-DN01,PROD-012,OUTBOUND_SALE,OUT,6,41.1,SO-27322,Xuat ban hang khach le & doanh nghiep
MOV-00181,2024-01-07 17:30:00,WH-DN01,PROD-011,OUTBOUND_SALE,OUT,7,141.04,SO-73156,Xuat ban hang khach le & doanh nghiep
