record_id,employee_id,course_name,training_type,start_date,end_date,score,completion_status,training_cost
TRG0017,EMP102,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-07-13,2025-07-19,80.0,Completed,1800000.0
TRG0018,EMP128,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-05-15,2025-06-04,91.8,Completed,4500000.0
TRG0019,EMP177,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-04-14,2025-04-24,78.2,Completed,6500000.0
TRG0020,EMP035,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-08-15,2025-09-07,65.8,Completed,6500000.0
TRG0021,EMP094,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-05-15,2025-05-21,92.9,Completed,4000000.0
TRG0022,EMP135,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-06-02,2025-06-10,72.2,Completed,4000000.0
TRG0023,EMP168,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-08-03,2025-08-15,77.9,Completed,2000000.0
TRG0024,EMP098,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-09-14,2025-09-23,65.0,Completed,2500000.0
TRG0025,EMP244,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-03-15,2025-04-03,87.6,Completed,4500000.0
TRG0026,EMP045,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-07-06,2025-07-18,68.7,Completed,4500000.0
TRG0027,EMP102,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-05-14,2025-05-25,92.8,Completed,6500000.0
TRG0028,EMP100,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-08-18,2025-09-11,81.8,Completed,1800000.0
TRG0029,EMP124,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-05-13,2025-06-05,96.7,Completed,3500000.0
TRG0030,EMP001,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-06-18,2025-06-28,84.9,Completed,3500000.0
TRG0031,EMP165,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-08-08,2025-08-13,84.0,Completed,5000000.0
TRG0032,EMP047,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-03-06,2025-03-24,,In Progress,2500000.0
TRG0033,EMP099,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-05-09,2025-05-14,73.7,Completed,1800000.0
TRG0034,EMP097,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-03-03,2025-03-23,69.2,Completed,2500000.0
TRG0035,EMP041,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-09-04,2025-09-23,67.9,Completed,2000000.0
TRG0036,EMP030,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-08-02,2025-08-20,79.8,Completed,4000000.0
TRG0037,EMP157,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-09-10,2025-10-03,85.6,Completed,2000000.0
TRG0038,EMP015,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-04-05,2025-04-11,68.6,Completed,1800000.0
TRG0039,EMP140,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-07-14,2025-07-28,68.1,Completed,6500000.0
TRG0040,EMP159,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-02-14,2025-02-19,85.9,Completed,4500000.0
TRG0041,EMP176,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-08-08,2025-08-14,32.4,Dropped,1800000.0
TRG0042,EMP153,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-07-12,2025-08-01,89.6,Completed,4000000.0
TRG0043,EMP193,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-08-20,2025-08-10,72.2,Completed,6500000.0
TRG0044,EMP234,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-03-19,2025-03-28,87.8,Completed,4500000.0
TRG0045,EMP152,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-08-17,2025-08-25,68.8,Completed,3500000.0
TRG0046,EMP054,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-09-03,2025-09-19,49.9,Dropped,3500000.0
TRG0047,EMP179,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-03-13,2025-03-23,87.8,Completed,2500000.0
TRG0048,EMP108,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-05-03,2025-05-21,82.4,Completed,4500000.0
TRG0049,EMP069,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-02-10,2025-02-14,87.2,Completed,3500000.0
TRG0050,EMP154,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-06-12,2025-07-03,81.6,Completed,1800000.0
TRG0051,EMP088,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-05-20,2025-06-13,92.4,Completed,6500000.0
TRG0052,EMP040,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-06-07,2025-06-14,75.6,Completed,4000000.0
TRG0053,EMP247,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-03-15,2025-03-26,84.8,Completed,1800000.0
TRG0054,EMP190,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-07-18,2025-07-23,92.8,Completed,2500000.0
TRG0055,EMP232,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-09-14,2025-09-22,,In Progress,2000000.0
TRG0056,EMP028,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-05-13,2025-05-17,82.9,Completed,2500000.0
TRG0057,EMP060,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-07-09,2025-07-15,88.9,Completed,2000000.0
TRG0058,EMP143,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-07-08,2025-07-14,72.2,Completed,2000000.0
TRG0059,EMP014,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-02-16,2025-03-03,89.3,Completed,5000000.0
TRG0060,EMP199,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-08-10,2025-08-24,,In Progress,3500000.0
TRG0061,EMP149,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-04-09,2025-04-13,89.7,Completed,4000000.0
TRG0062,EMP155,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-03-15,2025-04-05,94.4,Completed,2500000.0
TRG0063,EMP085,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-08-13,2025-09-04,94.0,Completed,4500000.0
TRG0064,EMP056,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-05-14,2025-06-03,87.8,Completed,4000000.0
TRG0065,EMP031,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-05-10,2025-05-13,70.9,Completed,4000000.0
TRG0066,EMP034,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-04-09,2025-04-15,82.3,Completed,2500000.0
TRG0067,EMP203,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-02-14,2025-02-24,72.7,Completed,5000000.0
TRG0068,EMP081,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-02-04,2025-02-24,91.1,Completed,2000000.0
TRG0069,EMP075,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-04-10,2025-05-02,,In Progress,2000000.0
TRG0070,EMP070,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-02-06,2025-02-17,92.6,Completed,2500000.0
TRG0071,EMP095,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-06-15,2025-07-03,94.5,Completed,3500000.0
TRG0072,EMP024,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-08-03,2025-08-16,74.0,Completed,4500000.0
TRG0073,EMP157,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-03-10,2025-03-28,85.5,Completed,2000000.0
TRG0074,EMP159,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-05-15,2025-05-19,92.4,Completed,4500000.0
TRG0075,EMP035,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-07-03,2025-07-07,92.2,Completed,2000000.0
TRG0076,EMP099,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-03-01,2025-03-10,75.5,Completed,4500000.0
TRG0077,EMP069,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-04-02,2025-04-10,77.6,Completed,2500000.0
TRG0078,EMP098,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-08-20,2025-08-28,83.8,Completed,6500000.0
TRG0079,EMP060,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-08-03,2025-08-24,92.5,Completed,5000000.0
TRG0080,EMP161,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-02-20,2025-03-02,75.1,Completed,5000000.0
TRG0081,EMP072,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-06-01,2025-06-16,70.9,Completed,2500000.0
TRG0082,EMP191,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-06-14,2025-06-23,74.9,Completed,5000000.0
TRG0083,EMP133,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-05-09,2025-05-18,68.4,Completed,5000000.0
TRG0084,EMP246,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-08-20,2025-09-03,81.8,Completed,6500000.0
TRG0085,EMP199,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-06-06,2025-06-18,83.5,Completed,1800000.0
TRG0086,EMP099,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-07-11,2025-07-14,71.7,Completed,2500000.0
TRG0087,EMP211,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-07-06,2025-07-26,95.9,Completed,3500000.0
TRG0088,EMP207,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-06-16,2025-06-19,79.1,Completed,1800000.0
TRG0089,EMP232,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-06-11,2025-06-20,68.2,Completed,6500000.0
TRG0090,EMP221,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-08-11,2025-08-15,69.1,Completed,4000000.0
TRG0091,EMP141,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-02-02,2025-02-23,76.2,Completed,5000000.0
TRG0092,EMP035,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-05-09,2025-05-21,85.1,Completed,4000000.0
TRG0093,EMP103,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-08-14,2025-09-03,85.2,Completed,6500000.0
TRG0094,EMP067,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-02-14,2025-02-20,93.2,Completed,4000000.0
TRG0095,EMP165,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-08-19,2025-08-23,73.6,Completed,3500000.0
TRG0096,EMP113,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-03-01,2025-03-10,73.6,Completed,4500000.0
TRG0097,EMP244,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-03-11,2025-03-26,76.8,Completed,4000000.0
TRG0098,EMP111,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-02-11,2025-02-16,81.7,Completed,1800000.0
TRG0099,EMP242,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-03-13,2025-04-03,73.6,Completed,3500000.0
TRG0100,EMP228,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-05-10,2025-05-19,52.2,Dropped,2500000.0
TRG0101,EMP112,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-02-09,2025-02-22,65.5,Completed,1800000.0
TRG0102,EMP086,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-08-19,2025-09-01,75.3,Completed,6500000.0
TRG0103,EMP035,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-04-18,2025-05-06,92.4,Completed,2000000.0
TRG0104,EMP138,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-07-15,2025-07-21,66.1,Completed,2500000.0
TRG0105,EMP034,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-02-08,2025-02-28,88.3,Completed,1800000.0
TRG0106,EMP126,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-04-13,2025-04-25,91.1,Completed,6500000.0
TRG0107,EMP162,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-05-17,2025-06-01,90.0,Completed,6500000.0
TRG0108,EMP105,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-08-07,2025-08-20,72.3,Completed,3500000.0
TRG0109,EMP185,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-02-03,2025-02-10,84.1,Completed,4500000.0
TRG0110,EMP154,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-03-20,2025-04-01,74.7,Completed,1800000.0
TRG0111,EMP236,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-04-16,2025-05-05,77.4,Completed,1800000.0
TRG0112,EMP122,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-05-13,2025-05-26,66.7,Completed,3500000.0
TRG0113,EMP050,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-05-09,2025-05-21,72.0,Completed,6500000.0
TRG0114,EMP153,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-08-17,2025-09-04,88.7,Completed,2000000.0
TRG0115,EMP060,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-03-05,2025-03-14,79.5,Completed,4500000.0
TRG0116,EMP108,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-09-02,2025-09-19,,In Progress,4500000.0
TRG0117,EMP215,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-09-10,2025-09-21,,In Progress,4500000.0
TRG0118,EMP119,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-08-06,2025-08-22,,In Progress,4000000.0
TRG0119,EMP100,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-08-15,2025-09-07,66.4,Completed,5000000.0
TRG0120,EMP158,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-09-09,2025-09-27,,Dropped,4000000.0
TRG0121,EMP157,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-06-08,2025-06-20,88.5,Completed,2000000.0
TRG0122,EMP036,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-05-15,2025-06-04,94.0,Completed,1800000.0
TRG0123,EMP223,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-05-16,2025-06-03,83.4,Completed,3500000.0
TRG0124,EMP073,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-06-05,2025-06-08,41.7,Dropped,3500000.0
TRG0125,EMP021,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-09-12,2025-09-21,67.5,Completed,2000000.0
TRG0126,EMP194,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-05-07,2025-05-11,66.9,Completed,4000000.0
TRG0127,EMP009,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-06-02,2025-06-18,76.8,Completed,3500000.0
TRG0128,EMP130,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-05-10,2025-05-21,82.3,Completed,2500000.0
TRG0129,EMP246,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-08-12,2025-08-22,70.9,Completed,1800000.0
TRG0130,EMP052,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-08-14,2025-08-18,95.2,Completed,2500000.0
TRG0131,EMP172,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-02-09,2025-02-26,98.0,Completed,3500000.0
TRG0132,EMP189,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-03-02,2025-03-12,84.3,Completed,4500000.0
TRG0133,EMP193,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-08-03,2025-08-08,90.3,Completed,1800000.0
TRG0134,EMP129,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-07-03,2025-07-08,87.5,Completed,6500000.0
TRG0135,EMP082,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-09-09,2025-09-24,75.3,Completed,5000000.0
TRG0136,EMP079,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-09-14,2025-09-19,90.2,Completed,4000000.0
TRG0137,EMP105,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-02-09,2025-02-26,78.6,Completed,4000000.0
TRG0138,EMP172,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-04-20,2025-04-23,88.5,Completed,6500000.0
TRG0139,EMP095,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-07-20,2025-08-13,82.4,Completed,6500000.0
TRG0140,EMP159,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-06-06,2025-06-16,65.1,Completed,4500000.0
TRG0141,EMP047,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-09-14,2025-09-26,,In Progress,2500000.0
TRG0142,EMP081,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-09-08,2025-09-28,95.2,Completed,2000000.0
TRG0143,EMP018,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-02-12,2025-02-17,67.9,Completed,2000000.0
TRG0144,EMP100,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-02-10,2025-02-28,93.6,Completed,6500000.0
TRG0145,EMP055,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-06-15,2025-07-06,73.6,Completed,4500000.0
TRG0146,EMP077,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-04-01,2025-04-10,73.7,Completed,2000000.0
TRG0147,EMP027,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-04-08,2025-04-27,72.4,Completed,3500000.0
TRG0148,EMP092,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-08-14,2025-08-26,,In Progress,4500000.0
TRG0149,EMP222,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-09-10,2025-09-16,97.0,Completed,4000000.0
TRG0150,EMP236,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-03-17,2025-03-26,76.7,Completed,1800000.0
TRG0151,EMP096,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-06-14,2025-06-27,67.6,Completed,5000000.0
TRG0152,EMP054,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-04-04,2025-04-22,75.8,Completed,1800000.0
TRG0153,EMP225,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-06-03,2025-06-11,,Dropped,3500000.0
TRG0154,EMP097,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-07-17,2025-07-23,76.4,Completed,1800000.0
TRG0155,EMP159,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-05-18,2025-05-27,,In Progress,2500000.0
TRG0156,EMP025,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-06-18,2025-07-11,94.4,Completed,5000000.0
TRG0157,EMP196,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-02-07,2025-02-27,73.5,Completed,3500000.0
TRG0158,EMP099,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-06-05,2025-06-13,70.2,Completed,5000000.0
TRG0159,EMP177,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-09-08,2025-09-12,89.3,Completed,1800000.0
TRG0160,EMP027,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-03-17,2025-04-02,94.9,Completed,2500000.0
TRG0161,EMP076,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-03-10,2025-03-25,73.2,Completed,4500000.0
TRG0162,EMP086,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-07-07,2025-07-11,31.0,Dropped,1800000.0
TRG0163,EMP016,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-06-01,2025-06-18,67.9,Completed,2000000.0
TRG0164,EMP183,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-02-20,2025-03-08,83.1,Completed,4500000.0
TRG0165,EMP170,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-07-15,2025-08-03,88.4,Completed,1800000.0
TRG0166,EMP061,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-07-10,2025-07-16,89.5,Completed,2000000.0
TRG0167,EMP048,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-04-14,2025-04-25,66.8,Completed,4500000.0
TRG0168,EMP079,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-03-01,2025-03-17,,Dropped,4500000.0
TRG0169,EMP192,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-08-20,2025-08-10,94.5,Completed,6500000.0
TRG0170,EMP228,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-04-09,2025-04-16,69.1,Completed,2500000.0
TRG0171,EMP138,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-08-17,2025-08-24,67.8,Completed,2500000.0
TRG0172,EMP208,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-07-13,2025-07-21,77.6,Completed,4000000.0
TRG0173,EMP159,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-04-01,2025-04-20,73.9,Completed,6500000.0
TRG0174,EMP147,Ứng dụng AI & Prompt Engineering trong Giáo dục,Kỹ thuật,2025-02-01,2025-02-15,69.6,Completed,4500000.0
TRG0175,EMP205,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-09-05,2025-09-12,80.0,Completed,1800000.0
TRG0176,EMP181,Quản trị Dự án Agile/Scrum Chuẩn Quốc tế,Lãnh đạo,2025-04-05,2025-04-08,86.3,Completed,5000000.0
TRG0177,EMP119,An toàn Thông tin & Tuân thủ ISO 27001,Tuân thủ,2025-07-20,2025-08-10,73.4,Completed,2000000.0
TRG0178,EMP049,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-03-05,2025-03-19,76.0,Completed,4000000.0
TRG0179,EMP231,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-07-17,2025-07-20,69.9,Completed,3500000.0
TRG0180,EMP162,Kỹ năng Lãnh đạo Đội ngũ Hiệu suất cao,Lãnh đạo,2025-02-13,2025-02-17,65.9,Completed,6500000.0
TRG0181,EMP203,Kỹ năng Trình bày & Giảng dạy Truyền cảm hứng,Kỹ năng mềm,2025-06-01,2025-06-17,93.0,Completed,2500000.0
TRG0182,EMP227,Python Nâng cao cho Tự động hóa Quy trình,Kỹ thuật,2025-06-15,2025-07-02,85.0,Completed,4000000.0
TRG0183,EMP088,Phân tích Dữ liệu với SQL & Power BI,Kỹ thuật,2025-02-09,2025-02-14,97.1,Completed,3500000.0
TRG0184,EMP150,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-08-13,2025-08-24,68.1,Completed,1800000.0
TRG0185,EMP100,Tư duy Dịch vụ Khách hàng Xuất sắc,Kỹ năng mềm,2025-07-14,2025-07-21,83.4,Completed,1800000.0
